external_gene_name,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
aap-1,3594,3597,3877,3866,4815,4143
aat-1,143,158,135,176,218,190
aat-2,286,324,308,263,342,363
aat-3,1407,1635,1545,1028,1366,1382
aat-4,95,118,99,121,150,139
aat-5,142,135,121,112,147,133
aat-6,226,229,194,196,256,184
aat-7,28,37,37,44,60,58
aat-8,36,60,33,30,47,45
aat-9,3009,2989,2985,3002,3960,3883
abf-1,10,5,10,9,15,16
abf-2,500,458,548,534,631,746
abf-3,1,0,1,0,0,0
abf-4,2,8,4,5,1,3
abf-5,319,253,285,271,387,352
abf-6,194,186,194,200,257,267
abl-1,1876,1957,1959,1425,1783,1178
abt-1,50,53,51,50,63,49
abt-2,838,808,810,669,901,518
abt-3,2,4,3,7,1,2
abt-4,836,1053,885,1053,1414,948
abt-5,77,61,54,31,58,44
abu-1,13,34,21,6,19,8
abu-2,2,1,2,1,4,1
abu-3,2,3,0,2,0,1
abu-4,1,2,2,0,1,0
abu-5,0,1,0,0,1,0
abu-6,11,23,19,1,11,19
abu-7,16,27,21,10,24,14
abu-8,37,89,60,30,58,30
abu-9,3,11,1,1,6,2
abu-10,52,43,51,29,58,36
abu-11,45,60,26,19,39,32
ace-1,273,254,240,272,301,273
ace-2,206,214,191,167,231,154
ace-3,198,215,250,98,130,161
ace-4,19,8,18,11,15,22
acn-1,443,759,571,315,468,446
aco-1,6936,7733,6425,5293,7387,4845
aco-2,26560,27781,28872,29009,36578,24244
acr-2,8,19,14,14,17,14
acr-3,5,6,8,3,8,3
acr-5,21,18,27,17,21,18
acr-6,1,6,4,4,4,5
acr-7,23,18,17,12,18,15
acr-8,33,52,24,10,31,35
acr-9,15,21,19,20,26,14
acr-10,12,13,19,18,13,8
acr-11,41,30,43,34,50,50
acr-12,66,68,49,39,68,49
acr-14,13,14,11,6,9,11
acr-15,57,56,72,68,66,78
acr-16,77,76,64,76,93,106
acr-17,51,51,49,50,60,53
acr-18,26,27,35,31,38,32
acr-19,46,40,55,53,60,68
acr-20,45,55,37,31,39,34
acr-21,17,11,13,7,8,10
lgc-11,6,10,7,5,5,8
acr-23,9,10,9,5,7,8
act-1,25890,27001,25909,24223,35536,30280
act-2,35803,36922,33984,33000,49048,37148
act-3,23486,25018,23830,22226,31923,27991
act-4,10444,12183,11173,7634,11935,11416
act-5,2101,2718,2467,2419,3580,3285
acy-1,195,205,226,211,295,163
acy-2,35,42,43,33,55,30
acy-3,278,295,308,238,287,223
acy-4,417,513,384,406,490,437
add-1,226,256,224,224,318,188
add-2,947,1061,1033,1074,1310,1292
adm-2,1160,1203,1282,1044,1436,954
adm-4,990,1006,1168,1147,1429,1255
adr-1,6993,7523,6913,5251,7478,4930
adr-2,4104,4396,4340,4125,5494,4929
ads-1,2449,2906,2407,2457,3192,2526
adt-1,69,88,70,35,43,49
adt-2,347,375,363,391,475,374
aex-1,228,241,243,272,320,304
aex-2,15,13,20,12,19,15
aex-3,539,536,519,345,493,312
aex-5,155,148,128,162,221,150
aex-6,115,135,110,105,140,136
age-1,3592,3760,3835,3615,4690,3178
ags-3,1292,1350,1346,1146,1492,1076
agt-1,835,745,881,909,1207,1172
agt-2,1216,1304,1451,1414,1656,1436
aha-1,927,910,969,832,1123,1131
ahr-1,30,43,32,25,37,25
aip-1,1170,1143,1300,1378,1660,1642
air-1,9012,9235,9558,9816,12876,11005
air-2,3609,3735,4023,3961,4945,4344
ajm-1,2995,3471,3192,2122,2738,1620
aka-1,12420,12661,13684,12546,15551,9734
akt-1,9695,9814,10376,10742,13174,11301
akt-2,540,533,592,545,703,568
alg-1,3355,3904,3573,2583,3362,2332
alg-2,4927,5371,4959,3795,5533,4599
alh-1,8309,8628,8288,8458,10959,9301
alh-2,0,3,1,0,1,0
alh-3,3973,4170,3894,3363,4330,3413
alh-4,3973,4307,4329,3955,5117,3643
alh-5,117,144,108,127,161,88
alh-6,1782,1837,1959,1842,2501,2444
alh-7,1514,1541,1559,1567,2068,2092
alh-8,18843,18585,16781,14422,19583,14225
alh-9,2362,2413,2710,2507,3439,3403
