external_gene_name,S01,S02,S03,S04,S05,S06,S07,S08
aap-1,1124,1667,997,1778,955,1261,1552,1480
aat-1,29,53,27,40,28,49,61,38
aat-2,40,67,19,47,25,37,97,68
aat-3,176,306,152,265,171,222,318,273
aat-4,121,150,113,164,83,114,191,161
aat-5,57,86,58,97,59,80,98,102
aat-6,82,87,62,81,62,72,140,119
aat-7,12,28,11,13,12,20,17,15
aat-8,12,14,8,12,1,11,15,14
aat-9,652,1115,777,1145,698,947,1123,999
abf-1,4,11,3,14,5,4,7,8
abf-2,3,2,5,3,2,5,3,7
abf-3,0,0,0,0,0,0,0,0
abf-4,0,0,1,0,2,1,1,0
abf-5,13,31,28,32,28,39,46,30
abf-6,32,81,73,85,52,70,72,74
abl-1,308,484,331,551,379,428,577,423
abt-1,7,9,2,5,3,3,15,9
abt-2,204,326,268,302,240,265,316,293
abt-3,1,0,0,2,0,2,2,1
abt-4,407,712,618,726,473,618,747,743
abt-5,2,12,8,15,10,10,21,14
abu-1,0,16,3,0,1,0,0,4
abu-2,2,0,1,0,0,0,1,0
abu-3,0,3,0,0,0,0,0,0
abu-4,0,0,0,0,2,0,0,1
abu-5,0,0,0,0,0,0,0,0
abu-6,0,3,0,1,0,0,0,5
abu-7,0,8,2,0,2,2,2,5
abu-8,0,9,7,0,1,4,0,11
abu-9,0,6,5,0,0,4,2,6
abu-10,2,8,1,1,1,3,4,3
abu-11,1,19,5,6,5,10,9,5
ace-1,65,97,83,111,62,90,105,98
ace-2,90,180,146,190,123,159,187,164
ace-3,15,30,24,30,23,25,22,16
ace-4,6,20,15,10,13,11,16,9
acn-1,31,61,62,70,48,61,83,46
aco-1,2331,4030,2857,3883,2736,3414,3908,3657
aco-2,10738,19156,16417,19053,8832,10727,11117,10526
acr-2,4,9,3,6,2,5,9,5
acr-3,2,3,5,4,3,4,5,7
acr-5,3,8,12,5,4,7,14,9
acr-6,3,2,0,4,1,5,0,1
acr-7,3,5,4,4,4,0,5,5
acr-8,10,18,15,13,16,15,27,24
acr-9,5,9,4,12,6,7,5,12
acr-10,0,2,1,0,1,1,4,7
acr-11,14,4,7,13,6,5,19,14
acr-12,18,19,14,26,14,17,21,15
acr-14,0,1,0,1,0,1,3,1
acr-15,21,34,20,24,28,25,54,31
acr-16,30,41,20,42,25,31,80,40
acr-17,9,15,13,14,11,16,23,21
acr-18,24,54,26,37,35,30,39,41
acr-19,9,6,3,10,0,2,10,5
acr-20,10,12,14,6,11,11,21,11
acr-21,3,7,8,5,0,4,7,9
lgc-11,2,3,1,7,4,1,5,3
acr-23,0,1,4,2,4,4,4,4
act-1,17611,34714,31971,35577,26509,30449,26759,32137
act-2,18441,33548,29665,34970,24275,27923,28459,28706
act-3,9737,16936,14438,18023,13642,14534,20970,15583
act-4,13004,25695,23548,25039,19079,21349,22974,22047
act-5,5842,10795,10413,10970,8245,9410,9762,9693
acy-1,83,109,80,110,52,96,136,131
acy-2,15,12,10,7,12,11,18,6
acy-3,116,165,106,155,119,125,184,150
acy-4,70,103,97,122,74,106,133,133
add-1,77,137,105,136,76,108,143,106
add-2,186,259,187,271,167,220,385,268
adm-2,320,552,430,622,414,488,500,466
adm-4,261,510,377,520,310,380,556,410
adr-1,1664,2347,2214,2755,1824,2019,2279,2106
adr-2,1116,1569,1051,1703,885,1246,1711,1487
ads-1,1722,2897,2805,2905,2136,2473,2535,2525
adt-1,20,29,21,26,18,43,34,33
adt-2,550,805,636,777,620,769,966,798
aex-1,55,82,56,81,44,39,134,61
aex-2,11,12,11,8,7,5,21,14
aex-3,96,160,114,145,87,121,156,140
aex-5,104,193,152,194,130,139,184,130
aex-6,40,57,51,56,46,42,58,82
age-1,1370,1954,1446,2000,1163,1439,1758,1717
ags-3,332,561,381,586,340,426,581,527
agt-1,257,462,424,512,322,397,394,391
agt-2,436,677,395,730,295,451,658,551
aha-1,167,260,184,287,211,252,248,228
ahr-1,2,3,5,8,3,6,7,10
aip-1,522,889,583,916,547,734,777,742
air-1,2734,4228,2826,4294,2407,3160,4297,3675
air-2,985,1563,1187,1540,1003,1360,1440,1292
ajm-1,774,1403,1337,1548,1144,1355,1412,1250
aka-1,3505,5397,4055,5653,3318,4292,5255,4759
akt-1,2546,4003,3053,4288,2624,3171,4202,3581
akt-2,98,194,125,192,142,147,162,153
alg-1,694,1172,923,1165,814,990,1145,1035
alg-2,1086,1704,1541,1769,1302,1486,1548,1486
alh-1,3181,5333,4051,5304,3376,4393,4769,4486
alh-2,0,0,0,0,0,0,0,1
alh-3,1162,1795,1045,1946,1088,1552,1784,1571
alh-4,1948,3169,2545,3418,2340,2748,2747,2604
alh-5,76,164,143,149,92,98,112,119
alh-6,1077,1924,1640,1794,1471,1639,1726,1691
alh-7,394,733,711,764,501,596,676,693
alh-8,9438,17370,15349,17318,12527,14701,14776,14547
alh-9,2713,4611,3832,4683,3380,4107,4440,4126
alh-10,298,469,314,529,273,410,682,465
alh-11,537,823,667,808,545,680,745,709
alh-12,592,936,573,922,482,700,999,862
aly-1,221,350,282,403,269,309,336,286
aly-2,3343,5443,4546,5682,3484,4330,5184,4426
aly-3,2615,4295,3676,4549,2928,3612,3784,3533
ama-1,3599,6018,5630,6796,4708,5661,5447,5636
amt-1,138,216,148,235,77,93,76,69
amt-2,2,4,3,5,1,1,2,0
amt-3,21,21,26,16,14,16,21,19
amt-4,321,584,398,556,289,408,547,493
amx-1,190,286,203,340,189,245,368,315
amx-2,101,205,162,210,141,176,234,178
amx-3,24,35,24,30,12,37,56,36
anc-1,5660,9407,8575,9590,6417,7986,8656,9290
aos-1,1538,2306,1281,2302,1156,1670,2377,2031
apc-2,1030,1514,1034,1535,928,1172,1679,1453
apc-10,386,660,576,698,441,529,618,551
apc-11,446,773,461,809,421,652,682,639
ape-1,3004,4698,2920,4730,2479,3566,5049,4079
aph-1,394,508,408,601,352,397,625,490
aph-2,678,972,499,974,459,607,1125,900
apl-1,1817,3061,2808,3131,2429,2693,2777,2613
apm-1,238,374,259,355,265,298,440,407
apn-1,1078,1679,1127,1696,938,1350,1489,1333
app-1,3407,5383,4037,5400,3350,4033,5024,4559
apr-1,1915,2721,1679,2887,1457,2121,2977,2506
aps-2,206,304,273,358,223,329,378,349
apg-1,1546,2310,1804,2531,1432,1935,2295,2140
aps-1,612,962,590,918,499,731,979,848
apb-1,1585,2348,1336,2603,1385,1968,2595,2303
apa-2,757,1185,866,1041,717,935,1138,1018
apd-3,1080,1751,1623,1777,1290,1602,1563,1553
apb-3,1557,2360,1500,2369,1237,1772,2373,2126
apm-3,170,321,223,267,213,255,300,259
aps-3,391,617,506,594,394,497,663,553
apt-9,11,12,11,18,7,10,18,12
apx-1,1226,1965,1689,2163,1456,1675,1942,1713
aqp-1,243,376,238,339,207,259,378,321
aqp-2,278,534,444,494,402,530,524,493
aqp-3,7,11,4,4,4,0,7,10
aqp-4,112,169,108,160,112,111,189,153
aqp-5,0,2,2,1,1,1,2,1
aqp-6,4,6,1,11,2,3,8,2
aqp-7,2172,3952,3086,3836,2533,3213,3468,3580
aqp-8,330,612,410,662,442,500,571,506
aqp-9,39,30,19,41,26,21,75,51
aqp-10,391,511,242,517,231,387,715,577
aqp-11,443,711,572,676,481,635,738,720
arc-1,145,226,160,224,155,201,269,206
ard-1,2112,3472,2456,3520,2177,2866,3113,3052
arf-1.2,3434,5615,5023,5817,4127,4860,6304,4747
arf-3,4497,7510,6166,7779,4902,6132,7267,6276
arf-6,593,975,910,979,684,846,858,828
arg-1,0,1,0,1,0,0,0,1
ark-1,601,930,850,1079,704,780,903,878
arl-1,474,781,534,780,468,605,734,664
arl-3,6,23,12,23,18,12,18,9
arl-5,151,245,175,288,160,180,318,249
arf-1.1,6,7,5,6,8,5,5,5
arl-7,4,5,6,6,5,11,8,8
arl-8,1785,2781,2162,3114,1802,2318,2832,2439
arl-6,1,4,3,1,2,2,2,2
arr-1,175,327,296,327,230,307,303,247
aars-1,454,708,543,790,449,600,717,643
aars-2,5017,8694,7115,8386,5744,6897,6943,6931
art-1,3130,5338,3864,5431,3324,4306,4652,4699
arx-1,1351,2290,1790,2288,1406,1832,1908,1932
arx-2,1454,2204,1544,2255,1328,1664,1943,1892
arx-3,985,1798,1287,1715,1081,1387,1445,1304
exos-4.2,633,1077,756,1094,665,885,992,887
arx-5,780,1235,1104,1332,923,986,1110,1101
arx-6,855,1539,1217,1445,941,1263,1283,1132
arx-7,407,697,531,671,422,544,584,559
asb-1,4421,7341,5595,7634,4597,5945,6029,5979
asb-2,2224,4213,3718,3998,3193,3575,4012,3463
trip-4,545,1002,890,1025,708,874,906,869
asg-1,2340,3826,3132,4031,2652,3151,3166,3477
asg-2,1181,2191,1779,2162,1540,1846,2036,1902
asm-1,97,126,66,125,76,100,183,154
asm-2,99,144,112,147,83,127,147,144
asm-3,3,8,2,8,6,5,7,8
asp-1,14313,26753,25915,27432,19250,22076,23334,24214
asp-2,5413,9579,6610,9585,5391,7284,8126,7674
asp-3,9889,19161,17572,19855,14198,14888,16612,15597
asp-4,4101,6656,4539,6797,3635,4892,5373,5183
asp-5,4244,7956,6617,7727,5059,6087,6499,6055
asp-6,10596,19622,17607,20850,13154,15435,16297,16514
atf-2,7,19,15,14,6,14,16,14
atf-5,960,1616,1146,1705,939,1240,1697,1359
atf-6,142,272,207,271,218,259,307,265
atf-7,3145,5012,3732,5212,3113,4073,4644,4321
atgp-1,308,553,430,626,440,467,458,443
atgp-2,257,469,341,410,333,352,418,366
atl-1,1328,1665,1012,1702,841,1312,2162,1685
atm-1,956,1393,1021,1601,901,1178,1335,1370
atn-1,1814,3061,2194,3143,2074,2679,3048,2783
atp-2,31297,57109,49878,56640,39399,45994,46690,45267
atp-3,6126,11018,9675,10989,7636,8829,9934,9223
atx-2,3749,6500,5939,6561,4520,5296,5401,5194
avr-14,26,30,38,35,41,41,45,37
avr-15,110,208,117,236,128,160,223,212
baf-1,1008,1548,1391,1584,1100,1263,1748,1419
bag-1,905,1315,959,1480,824,1119,1310,1147
bam-2,138,182,133,208,129,146,209,182
bar-1,125,192,115,186,125,150,208,168
bas-1,239,397,281,366,234,290,369,365
pah-1,937,1495,907,1496,815,1133,1577,1430
bbs-1,4,8,5,11,3,6,8,5
bbs-2,2,4,0,1,0,1,6,2
bbs-8,7,7,8,10,1,4,10,12
bca-1,281,544,330,491,283,408,458,465
bcc-1,30,52,29,64,24,37,43,37
bec-1,443,730,450,759,424,521,733,608
ben-1,427,767,608,641,493,578,636,560
bir-1,603,928,717,918,579,682,1006,877
bir-2,403,639,469,726,443,594,682,564
bli-1,5,30,36,54,7,4,37,18
bli-2,4,20,18,12,4,11,34,6
bli-3,272,421,283,404,287,387,487,404
bli-4,2860,4623,3288,4694,2883,3964,4370,4112
bli-5,3,9,2,6,7,8,6,6
bli-6,67,186,146,142,149,143,160,124
bmk-1,1731,2879,2020,2953,1738,2399,2478,2290
bpl-1,613,918,602,988,543,736,1024,869
bra-1,76,137,111,141,85,105,121,101
F23H11.5,1691,2872,2636,2871,2067,2362,2535,2649
brc-1,627,972,688,1034,562,653,1047,866
brd-1,862,1213,744,1242,724,983,1258,1073
bre-1,176,244,174,248,152,207,293,259
bre-2,19,18,22,29,26,30,42,49
bre-3,1170,1827,973,1873,929,1393,1816,1594
bre-4,240,411,290,393,250,326,360,322
bre-5,388,484,304,496,289,368,596,507
brf-1,1155,1745,1332,1764,1124,1436,1739,1587
bro-1,1,0,0,1,0,1,0,0
brp-1,3592,6631,5722,7021,4612,5331,5630,5111
btf-1,1242,2235,1825,2203,1510,1870,1866,1824
bub-1,3057,4868,3443,5027,2982,3899,4387,3967
byn-1,1530,2461,1521,2528,1386,1826,2464,2268
cab-1,658,1261,1072,1109,813,923,1011,970
cah-1,33,45,17,34,13,28,36,40
cah-2,4,7,7,9,6,8,14,13
cah-3,413,688,602,724,510,567,645,548
cah-4,1491,2600,2192,2767,1915,2151,2359,2332
cah-5,328,541,407,577,335,413,479,429
cah-6,12,20,23,28,24,25,19,32
cal-1,50,64,40,62,46,62,94,53
cal-2,30,76,62,101,50,66,79,73
cal-3,16,31,20,37,28,30,37,27
cal-4,25,51,32,41,29,20,46,30
cam-1,1057,1698,1049,1590,1021,1298,1545,1409
cap-1,1578,2359,1439,2282,1311,1778,2436,2070
cap-2,1922,3243,2987,3383,2279,2724,2791,2579
cas-1,845,1577,1280,1621,1116,1325,1342,1361
cat-1,9,18,20,23,17,19,15,13
cat-2,9,14,15,7,11,12,16,17
cat-4,518,799,526,777,451,606,799,681
