external_gene_name,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
AC3.10,5,73
AC3.2,63,161
AC3.3,21,24
AC3.5,212,453
AC7.2a,7,9
AH6.3,7,130
AH6.5,3503,1841
AH9.2,91,65
AH9.3,48,31
B0001.1a,201,117
B0001.3a,5,2
B0001.3b,16,6
B0001.4,445,270
B0001.5,754,492
B0001.6,598,660
B0001.8,782,490
B0019.1,35,109
B0019.2,924,470
B0024.1,21,25
B0024.10,1073,538
B0024.12,26,29
B0024.13a,468,329
B0024.14b,7,9
B0024.2,23,26
B0024.3,1,1
B0024.4,29,79
B0024.9,254,224
B0025.1a,3,2
B0025.2,1567,926
B0025.4,360,205
B0025.5,1,96
B0034.1,4,5
B0034.3a,156,176
B0035.10,17,5
B0035.11,1323,757
B0035.12,2361,1190
B0035.13,47,150
B0035.14,803,588
B0035.15,410,225
B0035.16,122,61
B0035.1b,125,62
B0035.2,469,332
B0035.3,578,409
B0035.4,806,670
B0035.5,744,500
B0035.6,1855,969
B0035.7,116,76
B0035.8,10,8
B0041.1,1,4
B0041.11,13,10
B0041.3,55,36
B0041.4,26536,20592
B0041.5,771,537
B0041.7,1859,1277
B0041.8,653,409
B0047.2,7,11
B0047.3,57,51
B0198.1,7,5
B0198.2b,1,2
B0205.10,18,391
B0205.11,709,453
B0205.12,25,39
B0205.13,241,112
B0205.3,1135,737
B0205.6,506,353
B0205.7,2092,1637
B0205.8,165,130
B0207.12b,1,7
B0207.2,1,11
B0207.3a,2,1
B0207.4,710,407
B0207.9,6,48
B0213.14,20,35
B0213.2,30,80
B0213.3,11,6
B0213.4,5,2
B0218.6,111,169
B0218.8,15,67
B0222.3,2,1
B0222.5,714,1133
B0222.8,925,1111
B0228.7,383,618
B0238.10,529,416
B0238.11,1145,672
B0238.12,1,10
B0238.9,1245,726
B0240.1,12,6
B0244.2,161,322
B0244.8,4597,2294
B0244.9,4,28
B0250.1,29932,22798
B0250.2,2,2
B0250.5,670,841
B0250.9,26,35
B0252.1,2,8
B0252.2,120,245
B0252.3c,6,23
B0252.4b,29,12
B0252.8,2,1
B0261.4a,63,34
B0261.6a,4,41
B0261.8,79,36
B0272.3,386,371
B0272.4,17,26
B0273.1,8,70
B0273.2,979,465
B0280.10,194,103
B0280.13,47,49
B0280.17,66,289
B0280.1a,30,20
B0280.3,596,370
B0280.5,18563,9921
B0280.7,1,1
B0280.8,69,55
B0280.9,863,495
B0281.3,31,22
B0281.4,3,6
B0281.5a,7,4
B0285.3,129,106
B0285.5,705,408
B0285.8,10,29
B0285.9,65,36
B0286.1,14,39
B0286.2a,8,36
B0286.3,89,165
B0286.4a,83,145
B0303.14,24,26
B0303.15,486,347
B0303.2,20,43
B0303.3,1203,1064
B0304.2,476,240
B0304.3,3,7
B0304.4,88,71
B0310.1b,50,92
B0334.1,120,254
B0334.11a,29,22
B0334.11b,1,4
B0334.13,1,1
B0334.15,539,316
B0334.2b,58,58
B0334.3a,876,1040
B0334.4,641,380
B0334.5,809,514
B0334.8,1540,882
B0336.1,1176,639
B0336.10,4557,3371
B0336.11a,24,31
B0336.13,277,176
B0336.2,1092,800
B0336.5a,4,4
B0336.5b,54,25
B0336.6,2028,1190
B0336.7a,94,55
B0336.9a,24,17
B0336.9e,4,2
B0348.4a,3,3
B0348.4b,1,1
B0348.4c,2,2
B0348.6a,2959,1380
B0350.2a,168,312
B0350.2c,2,5
B0350.2e,1,2
B0361.10,202,129
B0361.2a,666,354
B0361.5a,4,9
B0361.5b,10,15
B0361.6,534,312
B0361.7,423,258
B0361.8,910,603
B0361.9,33,79
B0365.3,9385,8394
B0365.5a,4,3
B0365.6,417,294
B0379.1a,124,262
B0379.2,8,96
B0379.4a,76,49
B0379.4b,11,17
B0379.7,18,226
B0391.10,11,8
B0393.1,31714,24521
B0393.3,2396,1168
B0393.7,1,5
B0393.9b,6,7
B0403.4,1991,1509
B0403.6,19,34
B0410.3,3,4
B0412.2,15,47
B0412.4,465,430
B0414.2,1,4
B0414.3,3386,2166
B0414.5,1956,1106
B0414.6,983,585
B0416.2,1,1
B0416.5a,27,24
B0416.6,120,55
B0416.7a,3,4
B0432.10,150,96
B0432.12,1,13
B0432.13,626,368
B0432.2,346,242
B0432.3,262,195
B0432.4,467,364
B0432.8,174,73
B0432.9,31,21
B0454.1,100,73
B0454.9,51,42
B0457.1a,200,145
B0457.1b,1,5
B0457.1c,1,1
B0464.1,3265,2090
B0464.3,129,224
B0464.4,531,364
B0464.5b,39,18
B0464.5c,101,63
B0464.6,2318,1409
B0464.7,333,206
B0464.8,614,355
B0491.1,587,372
B0491.2,17,10
B0491.3,17,166
B0491.5,1491,1405
B0491.6a,6,6
B0491.6b,4,3
B0491.7,249,133
B0495.10a,3,2
B0495.4,214,370
B0495.5,506,321
B0495.6,75,38
B0495.7,1516,1116
B0495.8a,739,496
B0495.8b,2,2
B0495.9,383,268
B0496.3e,5,7
B0496.7,11,19
B0507.2,75,96
B0511.1,15,18
B0511.10,1467,947
B0511.13,341,221
B0511.5,6,10
B0511.6,1761,1105
B0511.7,630,356
B0511.8,1205,782
B0511.9a,22,9
B0511.9c,4,4
B0513.1a,384,296
B0513.2a,646,413
B0513.3a,1020,1021
B0513.4a,661,726
B0513.5,61,101
B0513.9a,1,2
B0523.3,565,354
B0523.5,1233,783
