external_gene_name,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
vps-34,11275,9829,8987,10184
B0041.2,18444,17247,15039,18435
xnp-1,8179,7244,5934,7874
B0205.12,16,27,13,56
srz-85,4,2,7,3
avr-14,493,401,471,429
gpa-14,38,31,56,38
B0261.8,565,457,377,503
B0414.8,6053,5543,4743,5835
nhr-23,11428,10840,10279,10863
cel-1,5743,5108,4605,5207
C06A5.12,24,29,31,45
tol-1,4137,3987,4354,4552
unc-89,39166,32134,31597,32278
C09D4.1,988,821,843,849
spr-4,10390,9262,8227,10332
lin-10,7819,7370,6591,7476
lin-41,26404,26234,25930,31050
C17E4.11,355,285,263,315
C17H1.10,0,1,2,0
C17H1.9,4,1,1,4
dao-5,22413,21701,20971,24292
irs-2,3715,3530,3205,3614
pbrm-1,30526,28563,25193,30738
C26C6.9,268,249,201,271
mbd-2,1104,1066,989,1259
C31H5.7,6,4,10,7
unc-11,18826,17506,18045,18967
rpl-13,37301,40038,43207,44242
C32F10.8,12714,11944,11168,12572
imp-1,29587,27832,28476,32087
C36B1.13,8,4,6,4
cye-1,11045,10463,9043,11162
pqn-21,3918,3613,3208,3895
smn-1,3391,2890,2374,2965
ahr-1,207,170,218,215
nab-1,17143,13646,13366,14428
nhr-64,735,651,538,724
C45G3.5,3337,2979,2744,3214
C46H11.10,180,114,139,96
lfe-2,2461,2303,2082,2136
tba-2,39002,41250,42783,46141
gale-1,4038,4023,3847,3993
smg-1,12694,11484,10929,12569
eya-1,1467,1429,1462,1608
C53H9.2,14820,13925,13890,15061
C54C8.12,5,2,4,4
D1007.10,1743,1629,1641,1780
D1007.18,9,7,1,6
D1007.5,4054,4024,4103,4539
aex-1,772,672,745,686
D2030.12,42,46,29,28
D2030.2,6975,5769,5912,7134
DY3.8,2023,2230,2279,2477
lin-44,203,139,167,169
F02E9.10,7314,6656,6160,7465
lin-28,4833,4321,3700,4200
F08A10.1,605,543,514,487
srz-3,0,1,2,1
F08A8.1,4039,3634,3724,4039
unc-87,20774,17754,17707,17876
F10G8.9,916,898,758,922
kpc-1,3818,3475,3426,3526
F13G3.12,70,47,54,53
F13G3.7,3499,3505,3166,3493
hexokinase,21031,19580,18893,22009
F14B6.6,69,57,50,58
2RSSE.2,161,162,178,166
casy-1,4487,3758,3769,3647
glr-2,154,150,152,120
swp-1,7280,6819,6535,7628
B0361.11,2,6,4,4
B0361.2,3104,2895,2605,2962
psd-1,3842,3490,3708,3862
dac-1,70,71,48,84
spk-1,34893,32909,30774,35943
BE10.5,2,1,4,1
C02F5.13,687,646,576,695
C03C10.7,6,4,7,3
C05B5.8,235,184,208,246
C05D10.1,4737,4141,4090,4330
C05D11.1,6064,5742,5487,6200
daf-4,5805,5511,5289,5800
bas-1,903,858,835,779
ckk-1,285,229,223,199
C07A9.12,96,82,58,85
C07A9.13,21,12,15,16
ugt-60,495,362,376,390
cpg-1,150700,153250,145535,176726
atf-7,29110,27624,27821,30271
lin-39,482,396,407,436
egl-5,278,203,209,228
C09E7.10,3,5,1,5
pdfr-1,1314,1038,1098,1035
plk-1,26595,26319,24884,27858
C16A3.10,13617,13161,13488,14128
C16C10.13,12,21,10,16
C18D11.6,5,7,7,16
C18D11.7,17,9,11,10
C23G10.2,3158,3085,3272,3491
C24A1.2,972,828,956,915
C24A1.3,810,607,772,685
mdt-21,174,185,173,195
pxl-1,2956,2215,2428,2681
tag-250,883,786,876,860
unc-86,750,617,623,605
sel-8,4592,4162,3532,4324
C34C12.9,41,47,43,61
wrs-2,2233,1890,1956,2296
ced-4,4019,3526,3305,3890
C36A4.11,7,5,1,2
C36A4.9,36168,32795,33749,39807
C36E8.6,0,0,0,0
C38C10.6,11,9,14,7
pal-1,8214,8043,8030,8694
C38H2.3,32,26,40,49
C40H1.8,61,54,63,52
C40H1.9,14,7,20,11
fbxb-87,38,29,33,32
unc-93,202,133,179,117
C46F11.2,14298,13364,12965,14528
C46F11.6,556,383,472,514
C48B4.13,12,10,12,10
ced-7,31918,28490,25715,30717
C48D5.3,5,1,3,4
C54C6.7,14,23,29,30
atx-2,34122,35298,33987,38673
D2045.9,906,822,786,835
E02H9.3,1117,1129,970,1241
eng-1,2179,1871,1694,2198
F01F1.12,51533,48245,53901,56543
F02A9.1,18,13,7,14
F02A9.7,4,8,3,8
F08F8.10,3846,3266,2705,3854
kap-1,689,642,613,582
mig-10,8320,7096,6542,7252
F11F1.1,351,348,273,356
F11F1.8,3,7,9,7
tir-1,8011,6937,7179,7980
rpl-3,256449,272092,261928,281576
tag-49,50,35,43,35
soc-2,2732,2092,2157,2153
B0035.18,143,168,144,225
B0212.4,334,301,340,287
B0212.6,9,8,4,9
unc-44,82494,71196,69579,73855
jnk-1,714,522,502,558
B0513.2,2265,2276,1709,2231
exos-4.1,4659,4528,4495,4957
unc-30,260,235,220,281
B0564.11,1066,1054,1096,1187
C01B10.11,1758,1497,1536,1643
hil-7,7985,7159,7114,7139
icl-1,3448,3189,2749,3796
tax-6,6656,5314,5914,5932
dyf-3,436,414,390,485
C06A12.8,0,0,0,2
aminoacylase-1,6515,5940,5586,6078
C06A6.7,5,4,6,9
nhr-105,707,573,532,563
tin-9.1,442,495,453,803
pct-1,12857,11198,11063,11918
C08F8.9,133,149,73,302
srz-83,1,1,0,1
srz-82,0,0,0,0
srz-37,0,1,0,1
C09G4.4,235,224,213,312
mes-6,3172,2890,2714,3226
C09G9.8,22,12,16,20
C10C5.7,11,4,6,7
C10G6.1,2979,2429,2182,2357
nhr-31,6196,5081,4774,5085
spr-2,8890,8224,7146,8710
C27B7.9,708,704,650,876
C28D4.10,13,6,7,7
let-653,2635,2326,2180,2552
spe-10,3,5,4,1
B0024.13,1998,1964,1890,2260
crm-1,5619,5031,4707,5133
srbc-78,1,0,0,0
egl-8,6474,5971,6044,5679
clec-225,654,515,582,525
fbxa-154,0,2,1,1
B0462.4,2,0,6,2
srx-115,4,0,2,2
C01G10.15,12,11,7,19
C01G10.16,4,2,1,3
srbc-33,1,0,2,0
oac-2,0,1,1,2
srbc-31,0,0,0,0
srh-2,126,101,105,119
gei-7,76673,67954,78113,83898
srxa-11,4,2,0,1
srxa-12,0,2,2,2
srxa-13,0,0,1,0
srh-218,1,0,0,1
C06B8.11,0,0,0,0
srw-21,0,0,0,0
nhr-50,317,213,255,222
C06H2.7,1001,879,803,887
AC8.10,0,0,0,0
AC8.11,0,0,0,0
AC8.12,0,0,0,0
ppfr-1,28007,27097,24798,28477
F16C3.3,87,54,46,58
F16C3.4,18,16,15,14
F17B5.6,75,55,47,55
rme-8,19151,17522,16818,19263
F18C12.4,1,4,3,6
rde-2,4639,4070,3630,4176
F21F3.7,437,398,360,465
F22D6.15,22,21,19,25
nrs-1,12278,12319,12102,13216
lim-9,8023,6713,6463,6645
F25H5.3,48645,46958,48076,52281
F27C1.2,7789,7564,7349,8038
atp-3,20668,19612,20425,20652
F27D4.7,340,332,359,415
F28B3.6,846,777,726,840
sri-5,20,14,16,6
F28H1.4,214,172,155,176
F30A10.11,4,4,2,4
F30A10.12,1,1,0,0
F31C3.2,10244,9864,9034,10741
F31C3.6,584,467,523,511
F32A7.5,7244,6677,7214,7223
F32A7.8,18,14,13,10
F32B4.4,3667,3534,3278,4012
F32H2.11,21,20,26,33
dlk-1,4941,4816,5124,5079
F33E2.7,3,5,2,6
F35C12.3,493,380,392,364
F36A2.14,3,4,1,3
F36D1.10,1,0,0,0
F36D1.9,48,50,61,50
F36F2.7,6,7,5,5
F36F2.8,1,2,1,1
tat-5,20914,19607,18328,20926
F36H2.3,214,173,184,188
F36H2.4,0,0,0,0
F36H2.5,75,43,66,51
sur-2,10069,9187,8535,10729
sptf-1,842,727,626,750
twk-29,109,109,123,82
F46F11.11,8,3,3,8
aman-3,201,163,144,155
F52A8.3,44,25,42,45
cep-1,4687,4258,3830,4763
F52B5.7,349,298,274,297
oct-1,178,138,142,127
F52F12.8,1,2,0,0
F52F12.9,17,6,7,8
F53F10.8,175,173,152,169
mex-3,25634,27120,26828,29581
mes-3,7597,6854,6422,7464
F55A12.2,1253,1117,1020,1409
unc-73,21980,19337,17819,19956
ztf-26,236,232,195,195
F56A6.5,0,0,1,0
sdz-22,13,7,5,9
F56G4.7,2,3,1,1
F56H1.6,1751,1633,1479,1658
F58D5.2,270,188,251,222
ksr-2,5594,5241,5158,5868
F58D5.9,85,99,85,92
F59A3.5,25,23,10,22
