external_gene_name,X249_1813_B,X291_37_C,X294_1781_A,X299_1781_A,X310_37_C,X318_1813_B
aap-1,2087,2198,1937,2025,1911,2018
aat-1,102,100,46,73,78,92
aat-2,91,62,90,73,61,127
aat-3,485,215,227,227,242,294
aat-4,117,209,134,146,218,155
aat-5,30,64,33,60,46,109
aat-6,278,571,391,368,460,355
aat-7,1,4,6,15,11,12
aat-8,14,30,7,22,17,12
aat-9,1426,1298,1434,1457,1415,1659
abf-1,4,3,0,5,1,4
abf-2,9,8,4,9,1,1
abf-3,0,0,0,0,0,0
abf-4,1,4,0,3,0,1
abf-5,2,12,7,6,12,13
abf-6,0,9,4,12,9,13
abl-1,657,403,470,439,501,462
abt-1,17,13,14,16,22,100
abt-2,278,268,345,329,448,335
abt-3,1,0,1,5,0,12
abt-4,1404,1781,1860,1675,2574,1130
abt-5,13,13,17,17,3,61
abu-1,0,0,0,0,0,0
abu-2,0,0,0,0,0,0
abu-3,0,0,0,0,0,0
abu-4,2,1,1,0,0,0
abu-5,0,0,0,0,0,0
abu-6,0,0,0,0,0,0
abu-7,0,1,0,2,0,1
abu-8,3,2,4,0,1,2
abu-9,0,0,0,0,0,0
abu-10,1,0,0,1,0,1
abu-11,8,1,6,5,3,1
ace-1,77,127,67,96,46,112
ace-2,81,170,98,146,141,187
ace-3,56,26,10,24,18,26
ace-4,4,0,1,5,4,1
acn-1,432,107,72,104,144,25
aco-1,3020,5285,4075,4671,5105,4870
aco-2,19398,15682,18801,19081,18977,22630
acr-2,2,5,6,2,3,8
acr-3,0,6,0,0,1,7
acr-5,11,11,11,20,9,8
acr-6,3,1,4,0,1,0
acr-7,0,7,6,3,4,2
acr-8,30,14,10,18,33,49
acr-9,4,4,4,2,5,9
acr-10,3,6,4,6,5,1
acr-11,21,32,27,25,20,40
acr-12,40,31,16,27,26,49
acr-14,0,1,8,0,1,3
acr-15,23,31,15,23,17,43
acr-16,33,45,25,31,41,45
acr-17,10,14,10,18,18,20
acr-18,17,26,24,24,34,39
acr-19,9,8,4,7,5,6
acr-20,1,4,1,5,5,12
acr-21,1,14,3,10,8,7
lgc-11,0,0,0,0,0,0
acr-23,5,4,4,5,4,15
act-1,3706,4161,3240,4078,3340,4874
act-2,38212,24295,33892,34309,32418,35503
act-3,3459,3803,3025,3999,3240,4633
act-4,13850,20026,10400,14154,10791,19385
act-5,11436,16661,13084,14818,19230,11459
acy-1,110,100,94,100,94,154
acy-2,7,8,13,6,11,28
acy-3,180,390,161,246,236,161
acy-4,179,196,216,209,189,188
add-1,125,170,189,129,191,187
add-2,295,389,280,284,266,365
adm-2,790,605,678,754,579,684
adm-4,530,529,532,511,512,564
adr-1,2872,2208,2692,2529,2621,2309
adr-2,2127,2278,2068,2007,1953,2145
ads-1,2526,6121,3476,4044,4380,3043
adt-1,37,24,17,25,18,20
adt-2,430,414,405,578,560,921
aex-1,315,480,308,291,361,217
aex-2,5,21,5,13,2,9
aex-3,179,236,183,190,229,206
aex-5,239,677,315,371,498,317
aex-6,78,156,71,86,110,102
age-1,3409,2235,3184,3111,2720,3026
ags-3,706,595,508,555,524,582
agt-1,512,776,520,513,542,592
agt-2,781,574,704,655,775,659
aha-1,446,504,349,329,360,405
ahr-1,20,16,5,5,10,6
aip-1,935,1206,835,923,960,1000
air-1,5562,5823,4892,5448,5038,6150
