X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00000001,3594,3597,3877,3866,4815,4143
WBGene00000002,143,158,135,176,218,190
WBGene00000003,286,324,308,263,342,363
WBGene00000004,1407,1635,1545,1028,1366,1382
WBGene00000005,95,118,99,121,150,139
WBGene00000006,142,135,121,112,147,133
WBGene00000007,226,229,194,196,256,184
WBGene00000008,28,37,37,44,60,58
WBGene00000009,36,60,33,30,47,45
WBGene00000010,3009,2989,2985,3002,3960,3883
WBGene00000012,10,5,10,9,15,16
WBGene00000013,500,458,548,534,631,746
WBGene00000014,1,0,1,0,0,0
WBGene00000015,2,8,4,5,1,3
WBGene00000016,319,253,285,271,387,352
WBGene00000017,194,186,194,200,257,267
WBGene00000018,1876,1957,1959,1425,1783,1178
WBGene00000019,50,53,51,50,63,49
WBGene00000020,838,808,810,669,901,518
WBGene00000021,2,4,3,7,1,2
WBGene00000022,836,1053,885,1053,1414,948
WBGene00000023,77,61,54,31,58,44
WBGene00000024,13,34,21,6,19,8
WBGene00000025,2,1,2,1,4,1
WBGene00000026,2,3,0,2,0,1
WBGene00000027,1,2,2,0,1,0
WBGene00000028,0,1,0,0,1,0
WBGene00000029,11,23,19,1,11,19
WBGene00000030,16,27,21,10,24,14
WBGene00000031,37,89,60,30,58,30
WBGene00000032,3,11,1,1,6,2
WBGene00000033,52,43,51,29,58,36
WBGene00000034,45,60,26,19,39,32
WBGene00000035,273,254,240,272,301,273
WBGene00000036,206,214,191,167,231,154
WBGene00000037,198,215,250,98,130,161
WBGene00000038,19,8,18,11,15,22
WBGene00000039,443,759,571,315,468,446
WBGene00000040,6936,7733,6425,5293,7387,4845
WBGene00000041,26560,27781,28872,29009,36578,24244
WBGene00000042,8,19,14,14,17,14
WBGene00000043,5,6,8,3,8,3
WBGene00000044,21,18,27,17,21,18
WBGene00000045,1,6,4,4,4,5
WBGene00000046,23,18,17,12,18,15
WBGene00000047,33,52,24,10,31,35
WBGene00000048,15,21,19,20,26,14
WBGene00000049,12,13,19,18,13,8
WBGene00000050,41,30,43,34,50,50
WBGene00000051,66,68,49,39,68,49
WBGene00000053,13,14,11,6,9,11
WBGene00000054,57,56,72,68,66,78
WBGene00000055,77,76,64,76,93,106
WBGene00000056,51,51,49,50,60,53
WBGene00000057,26,27,35,31,38,32
WBGene00000058,46,40,55,53,60,68
WBGene00000059,45,55,37,31,39,34
WBGene00000060,17,11,13,7,8,10
WBGene00000061,6,10,7,5,5,8
WBGene00000062,9,10,9,5,7,8
WBGene00000063,25890,27001,25909,24223,35536,30280
WBGene00000064,35803,36922,33984,33000,49048,37148
WBGene00000065,23486,25018,23830,22226,31923,27991
WBGene00000066,10444,12183,11173,7634,11935,11416
WBGene00000067,2101,2718,2467,2419,3580,3285
WBGene00000068,195,205,226,211,295,163
WBGene00000069,35,42,43,33,55,30
WBGene00000070,278,295,308,238,287,223
WBGene00000071,417,513,384,406,490,437
WBGene00000072,226,256,224,224,318,188
WBGene00000073,947,1061,1033,1074,1310,1292
WBGene00000074,1160,1203,1282,1044,1436,954
WBGene00000075,990,1006,1168,1147,1429,1255
WBGene00000079,6993,7523,6913,5251,7478,4930
WBGene00000080,4104,4396,4340,4125,5494,4929
WBGene00000081,2449,2906,2407,2457,3192,2526
WBGene00000082,69,88,70,35,43,49
WBGene00000083,347,375,363,391,475,374
WBGene00000084,228,241,243,272,320,304
WBGene00000085,15,13,20,12,19,15
WBGene00000086,539,536,519,345,493,312
WBGene00000088,155,148,128,162,221,150
WBGene00000089,115,135,110,105,140,136
WBGene00000090,3592,3760,3835,3615,4690,3178
WBGene00000092,1292,1350,1346,1146,1492,1076
WBGene00000093,835,745,881,909,1207,1172
WBGene00000094,1216,1304,1451,1414,1656,1436
WBGene00000095,927,910,969,832,1123,1131
WBGene00000096,30,43,32,25,37,25
WBGene00000097,1170,1143,1300,1378,1660,1642
WBGene00000098,9012,9235,9558,9816,12876,11005
WBGene00000099,3609,3735,4023,3961,4945,4344
WBGene00000100,2995,3471,3192,2122,2738,1620
WBGene00000101,12420,12661,13684,12546,15551,9734
WBGene00000102,9695,9814,10376,10742,13174,11301
WBGene00000103,540,533,592,545,703,568
WBGene00000105,3355,3904,3573,2583,3362,2332
WBGene00000106,4927,5371,4959,3795,5533,4599
WBGene00000107,8309,8628,8288,8458,10959,9301
WBGene00000108,0,3,1,0,1,0
WBGene00000109,3973,4170,3894,3363,4330,3413
WBGene00000110,3973,4307,4329,3955,5117,3643
WBGene00000111,117,144,108,127,161,88
WBGene00000112,1782,1837,1959,1842,2501,2444
WBGene00000113,1514,1541,1559,1567,2068,2092
WBGene00000114,18843,18585,16781,14422,19583,14225
WBGene00000115,2362,2413,2710,2507,3439,3403
WBGene00000116,410,423,458,440,552,508
WBGene00000117,1278,1361,1235,1183,1569,1094
WBGene00000118,545,606,558,699,894,805
WBGene00000120,3158,3489,3364,2378,3276,3230
WBGene00000121,10228,10939,10759,11393,13431,11144
WBGene00000122,8964,9919,9274,8468,11321,11126
WBGene00000123,11611,14081,13349,9917,13603,8776
WBGene00000133,3,8,8,8,6,10
WBGene00000134,14,11,14,7,12,22
WBGene00000135,64,72,85,69,88,69
WBGene00000136,951,1079,764,883,1141,901
WBGene00000137,1248,1310,1418,1174,1498,1374
WBGene00000138,315,337,268,243,266,240
WBGene00000139,60,59,73,91,100,109
WBGene00000140,15898,18599,14086,8549,13938,4406
WBGene00000142,4276,4521,4795,4841,6663,6417
WBGene00000143,3680,3824,3759,3767,4904,4457
WBGene00000144,1216,1246,1402,1493,1836,1866
WBGene00000145,1436,1446,1575,1380,2013,2139
WBGene00000146,8744,9032,9426,8190,10704,7210
WBGene00000147,1975,2073,2162,2007,2572,2786
WBGene00000148,3172,3379,3308,2905,3761,3997
WBGene00000149,5989,6586,5809,4692,6081,4245
WBGene00000150,866,924,895,745,990,959
WBGene00000151,3143,3244,3379,3301,3980,3541
WBGene00000155,8325,8564,8916,9334,12593,11347
WBGene00000156,7789,7835,8372,6975,9192,5367
WBGene00000157,707,742,738,701,988,1043
WBGene00000158,3596,3926,4133,3715,4971,4225
WBGene00000159,1511,1529,1547,1523,1973,2062
WBGene00000160,4762,5047,5250,4487,6055,4412
WBGene00000161,2749,3043,2896,2442,3207,2383
WBGene00000162,3590,3858,3824,3387,4455,3286
WBGene00000163,7094,7509,7890,6873,8792,8032
WBGene00000164,990,1097,952,758,1068,981
WBGene00000165,1321,1372,1484,1331,1880,2144
WBGene00000166,30,22,26,14,28,22
WBGene00000168,4985,4910,5435,5495,6943,6353
WBGene00000169,2500,3110,1764,2318,2584,2405
WBGene00000170,4189,5276,4909,2352,3346,2837
WBGene00000171,48,37,41,38,55,42
WBGene00000172,226,266,208,195,263,228
WBGene00000173,7,15,10,3,12,7
WBGene00000174,150,151,122,67,116,131
WBGene00000175,1285,1539,1219,1540,1790,1306
WBGene00000176,1550,1394,1185,1302,1795,1579
WBGene00000177,83,110,78,100,109,116
WBGene00000178,1004,1198,1114,868,1316,1260
WBGene00000179,616,730,626,549,883,833
WBGene00000180,546,593,564,457,630,634
WBGene00000181,4467,4678,4591,4639,5899,6195
WBGene00000182,12574,14000,12887,10815,15125,13291
WBGene00000183,11729,12278,11281,11060,14561,12125
WBGene00000184,1282,1325,1475,1448,1883,1904
WBGene00000185,6,5,3,2,3,2
WBGene00000186,2189,2202,2506,2395,2779,2073
WBGene00000187,1874,1873,1991,2090,2521,2624
WBGene00000188,24,31,30,16,35,26
WBGene00000189,784,874,949,941,1108,1342
WBGene00000190,62,75,77,63,82,94
WBGene00000191,34,49,57,26,43,51
WBGene00000192,4918,4994,5242,5445,7082,7135
WBGene00000193,20,20,22,5,22,17
WBGene00000195,1062,1113,1093,904,1151,987
WBGene00000196,1120,1173,1281,1255,1574,1549
WBGene00000197,13220,13873,14056,12197,16576,9739
WBGene00000198,4639,4982,4715,4618,6144,4447
WBGene00000199,2997,3312,3375,3067,3988,3427
WBGene00000200,4900,4858,5036,4815,6410,5399
WBGene00000201,3271,3180,3445,3004,4415,3735
WBGene00000202,2024,2169,2430,2279,3116,3517
WBGene00000203,1675,1608,1786,1769,2422,2289
WBGene00000204,1982,1980,2106,1873,2582,2441
WBGene00000205,913,859,984,985,1421,1343
WBGene00000206,9573,9971,10768,11276,14781,13341
WBGene00000207,4231,4627,4298,3967,5272,4543
WBGene00000208,2333,2474,2489,2147,2796,2166
WBGene00000209,4200,4359,4546,4866,6729,7116
WBGene00000210,1481,1736,1620,1391,2016,1973
WBGene00000211,434,478,402,371,451,435
WBGene00000212,232,332,235,244,364,282
WBGene00000213,189,181,161,237,409,316
WBGene00000214,6912,8970,6458,9386,13684,9232
WBGene00000215,1903,2354,1839,2897,4052,2937
WBGene00000216,6561,7779,5588,8638,12113,7128
WBGene00000217,8845,9818,10660,11052,14628,14277
WBGene00000218,4867,5620,4596,7545,10630,6474
WBGene00000219,28412,33106,26467,32108,46744,32576
WBGene00000220,173,231,223,117,152,110
WBGene00000221,672,721,585,655,736,530
WBGene00000222,1182,1224,1211,950,1248,877
WBGene00000223,8163,8620,9274,8267,10762,7753
WBGene00000224,887,939,812,668,1021,661
WBGene00000225,493,471,496,463,613,384
WBGene00000226,6003,6568,6300,5527,7087,5992
WBGene00000227,4069,4476,4310,3408,4541,3016
WBGene00000228,2062,2401,2144,1782,2512,1635
WBGene00000229,53609,55535,57694,57305,76859,55583
WBGene00000230,16498,17609,16675,16009,21012,16725
WBGene00000231,10950,10726,11301,10354,13016,10744
WBGene00000232,100,118,113,91,134,119
WBGene00000233,166,156,171,155,221,244
WBGene00000235,4517,4587,4391,4062,5776,5669
WBGene00000236,2025,2035,2290,2240,2996,2889
WBGene00000237,1051,1170,1122,841,1144,905
WBGene00000238,474,466,453,392,546,419
WBGene00000239,175,152,176,179,291,264
WBGene00000240,1919,1886,1663,1011,1630,1130
WBGene00000241,24,31,22,16,20,22
WBGene00000242,32,38,26,18,31,40
WBGene00000244,20,29,14,17,19,23
WBGene00000245,591,621,476,541,666,549
WBGene00000246,133,151,133,93,133,122
WBGene00000247,1853,1763,1945,1901,2437,2571
WBGene00000248,1530,1693,1815,1485,1886,1627
WBGene00000249,2251,2183,2231,2040,3074,3026
WBGene00000250,1985,2026,2299,2143,2893,2364
WBGene00000251,0,54,37,17,20,51
WBGene00000252,1,29,37,6,9,58
WBGene00000253,520,556,533,403,649,437
WBGene00000254,10339,10394,10522,10065,12949,9234
WBGene00000255,2,6,6,10,10,7
WBGene00000256,11,91,62,46,80,52
WBGene00000257,8069,8601,8223,6166,8546,6035
WBGene00000259,1652,1749,1703,1575,2065,1647
WBGene00000262,401,398,401,262,402,406
WBGene00000263,4296,4457,4366,4397,6387,6161
WBGene00000264,1990,2075,2150,2057,2620,2114
WBGene00000265,2738,2879,2773,2496,3235,2406
WBGene00000266,561,684,652,554,770,718
WBGene00000267,98,95,73,61,94,86
WBGene00000268,3543,3576,3929,3993,5079,4050
WBGene00000269,951,920,956,981,1448,1281
WBGene00000270,625,788,686,770,972,958
WBGene00000271,3191,3180,3630,3295,3932,2705
WBGene00000272,57,69,60,38,55,57
WBGene00000273,10310,10263,11289,10874,13401,10469
WBGene00000274,3563,3724,3954,3355,4422,2951
WBGene00000275,11286,11882,11593,9406,12766,7237
WBGene00000276,5615,5609,5687,5145,6685,5854
WBGene00000277,2472,2548,2443,2222,2807,2169
WBGene00000279,66,80,72,65,101,116
WBGene00000280,68,63,55,60,53,51
WBGene00000281,601,561,536,673,900,831
WBGene00000282,2514,2939,2138,2179,3032,2574
WBGene00000283,273,312,235,354,432,386
WBGene00000284,55,55,43,39,64,45
WBGene00000285,173,193,198,162,206,219
WBGene00000286,188,175,163,161,168,202
WBGene00000287,69,75,52,87,76,76
WBGene00000288,72,78,87,63,87,87
WBGene00000289,5447,6048,6281,4992,6255,5196
WBGene00000292,4574,4659,4489,4334,5908,5417
WBGene00000293,6218,6606,6562,6305,7930,7248
WBGene00000294,3152,3327,3178,2689,3645,3135
WBGene00000295,23,38,31,21,16,25
WBGene00000296,49,49,54,21,56,41
WBGene00000298,401,414,426,504,611,654
WBGene00000301,23066,25144,23342,13671,19996,20218
WBGene00000302,33,43,55,58,87,63
WBGene00000308,2,3,2,0,2,1
WBGene00000310,0,0,0,0,0,0
WBGene00000311,0,0,0,0,0,0
WBGene00000366,12947,13335,13192,9597,12930,7692
WBGene00000367,395,388,386,316,397,336
WBGene00000368,239,223,231,247,300,234
WBGene00000369,4454,4575,4903,4665,6041,4872
WBGene00000370,1935,1871,2173,1907,2375,2086
WBGene00000371,6714,6856,6650,6720,10001,9836
WBGene00000372,61,59,64,54,54,65
WBGene00000373,314,390,411,268,384,321
WBGene00000374,395,427,388,306,445,403
WBGene00000375,1781,1921,2096,2062,2672,2755
WBGene00000376,21087,22276,22036,20012,27002,25386
WBGene00000377,13377,14051,13586,13140,17675,13025
WBGene00000378,10996,11696,12033,11466,14998,9681
WBGene00000379,11362,11733,11389,10866,14757,10142
WBGene00000380,18642,20307,19223,17703,24410,18973
WBGene00000381,12760,12558,12773,12378,16896,12189
WBGene00000382,4687,4821,5021,4786,6203,4258
WBGene00000383,8350,8512,9524,7886,10288,7868
WBGene00000386,8797,9286,10359,10301,13159,10296
WBGene00000387,3723,3988,4055,2791,3945,3103
WBGene00000388,1727,1830,2022,1982,2650,2475
WBGene00000389,2,0,3,2,4,0
WBGene00000390,7552,7497,8206,8155,10175,9343
WBGene00000391,34,61,50,50,62,44
WBGene00000392,913,916,1006,1018,1370,1375
WBGene00000393,1134,1071,1104,975,1304,964
WBGene00000395,658,873,799,631,801,566
WBGene00000396,10618,12717,11063,6220,9508,5455
WBGene00000397,150,188,141,83,178,100
WBGene00000399,69,98,70,26,54,47
WBGene00000401,194,207,237,74,135,119
WBGene00000402,137,182,200,105,145,144
WBGene00000403,1595,1751,1722,1332,1821,1342
WBGene00000405,11999,12786,12682,12129,16134,13669
