transcript_stable_ID,Nr35 counts,Nr36 counts,Nr37 counts,Nr38 counts
2L52.1,715,607,510,646
4R79.2,36,22,21,26
6R55.2,1,6,3,3
PAR2.3,1356,1215,1146,1252
PAR2.3,1286,1150,1069,1193
T01C8.1,2211,2284,2245,2294
T01C8.1,1922,1977,1903,1949
T01C8.1,1922,1977,1903,1949
F55F3.1,680,654,667,689
Y47D3A.15,899,884,1054,1046
Y110A7A.10,2859,2584,2356,2771
F27C8.1,621,539,575,608
F07C3.7,334,291,312,318
F52H2.2,1900,1667,1873,1863
T13A10.10,159,141,151,161
C55C2.5,271,211,193,207
C55C2.5,271,211,193,207
C55C2.5,271,211,193,207
T11F9.4,147,133,112,142
T11F9.4,137,127,108,139
F54D12.3,13,14,9,9
F28F9.4,17,22,27,22
Y53H1C.1,1993,1924,2071,2152
Y53H1C.1,2014,1935,2086,2169
Y39E4B.1,5870,5568,5422,5813
F18E2.2,5655,5315,4600,5409
T27E9.7,13994,13200,12774,14071
F42A10.1,5077,4785,4294,5042
C56E6.5,48,31,25,31
C56E6.1,1992,1759,1609,1862
C50F2.9,10,11,3,5
C50F2.10,34,36,40,38
F54B8.5,0,0,0,0
Y38H6C.22,0,0,1,0
T22H6.5,46,28,37,50
T22H6.7,79,87,75,90
B0336.6,6067,5993,5539,6432
M79.1,2726,2391,2354,2545
M79.1,2882,2558,2477,2699
M79.1,2618,2301,2260,2423
C24F3.5,26,22,27,35
F12B6.1,696,650,658,711
Y39D8C.1,1691,1731,1778,1722
Y53C10A.9,45,40,32,46
F56F4.6,0,0,0,0
Y74C10AR.3,1245,1099,1082,1134
F52B5.1,7207,5892,5909,6445
F52B5.1,7843,6389,6397,7006
F52B5.1,7800,6344,6358,6943
F52D10.1,158,126,153,154
F57F10.1,598,437,452,411
F57F10.1,566,416,430,392
F57F10.1,567,417,433,397
R03E9.3,864,704,816,885
R03E9.3,858,696,804,878
R03E9.3,856,696,802,877
R03E9.3,661,552,624,694
AC3.3,1,0,2,2
F35A5.3,73,45,70,47
T01D1.6,125,82,115,84
F19G12.7,1,3,0,1
F31A3.1,2,1,1,1
Y5H2A.3,3,0,0,1
Y105C5A.4,0,0,0,0
C03A7.7,0,0,0,1
C03A7.8,1,1,0,0
C03A7.14,180,120,144,109
R09F10.2,0,0,0,0
AC3.5,3254,2872,2666,2874
AC7.3,0,0,0,0
