transcript_stable_ID,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
2L52.1a,486,267,351,241,374,334,345,463,441,330,334,500
4R79.2a,17,12,14,12,7,13,10,14,19,18,19,15
6R55.2,0,0,1,1,1,0,1,1,2,1,4,1
PAR2.3a,74,34,43,48,68,59,63,65,68,29,40,38
T01C8.1a,231,155,171,125,170,198,206,233,193,136,162,237
F55F3.1,362,186,306,190,309,232,287,328,322,237,297,336
Y47D3A.15,635,392,417,306,402,439,470,606,497,386,312,513
Y110A7A.10,2740,1539,1722,1593,1746,1801,1811,2459,1660,2219,1231,2026
F27C8.1,290,155,215,153,253,179,259,327,326,278,314,320
F07C3.7,266,135,223,191,246,164,236,282,299,230,331,279
F52H2.2a,919,615,810,423,709,782,809,1118,952,722,675,1025
T13A10.10a,364,146,251,198,281,190,229,247,284,224,295,270
C55C2.5a,1,0,1,1,1,4,1,2,2,2,1,2
T11F9.4a,7,3,14,1,6,5,5,3,13,5,10,7
F54D12.3,28,6,12,17,28,4,27,23,17,12,20,22
F28F9.4,31,13,17,14,26,14,23,30,26,18,27,22
Y53H1C.1a,124,57,74,51,67,75,71,102,51,47,39,84
Y39E4B.1,4811,2519,3027,2643,3144,2920,2937,3663,2955,2795,2267,3361
F18E2.2,6875,2832,3810,3491,4262,3383,3436,4278,4020,3608,3723,3956
T27E9.7,4402,2067,2648,2358,3010,2540,2813,3363,2897,2199,2536,2823
F42A10.1,5506,2588,3038,2773,3462,2879,2924,3670,3340,2745,2779,3363
C56E6.5,11,8,9,3,8,6,10,20,15,15,22,11
C56E6.1,166,82,77,72,82,97,80,124,105,81,69,124
C50F2.9,2,1,11,1,5,5,11,9,7,6,4,6
C50F2.10,50,27,52,36,31,25,26,28,50,50,67,34
F54B8.5,0,0,3,1,5,2,0,0,5,0,1,0
Y38H6C.22,16,5,11,13,21,11,11,6,16,8,9,2
T22H6.5,610,181,355,324,443,219,251,299,326,337,493,302
T22H6.7,350,103,167,183,235,147,138,193,241,167,256,169
B0336.6,5531,3154,3325,2935,3238,3455,3387,4576,3079,3577,2147,3614
M79.1a,161,86,107,105,123,114,133,157,146,70,129,141
