wormbase_gene,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
WBGene00007071,212,453
WBGene00007081,7,130
WBGene00014999,48,31
WBGene00007089,445,270
WBGene00007090,754,492
WBGene00007093,782,490
WBGene00007094,924,470
WBGene00007096,1,1
WBGene00007097,29,79
WBGene00015001,360,205
WBGene00194700,1,96
WBGene00015002,4,5
WBGene00007112,47,150
WBGene00007113,410,225
WBGene00007106,578,409
WBGene00015006,1,4
WBGene00206362,13,10
WBGene00015009,771,537
WBGene00015011,653,409
WBGene00015024,18,391
WBGene00044413,25,39
WBGene00044644,241,112
WBGene00015021,506,353
WBGene00015022,165,130
WBGene00015027,1,11
WBGene00015032,6,48
WBGene00015056,714,1133
WBGene00015064,383,618
WBGene00015075,1145,672
WBGene00015076,1,10
WBGene00015073,1245,726
WBGene00015084,4,28
WBGene00007122,670,841
WBGene00015087,2,8
WBGene00044615,2,1
WBGene00015096,79,36
WBGene00007129,386,371
WBGene00007130,17,26
WBGene00015097,8,70
WBGene00044674,66,289
WBGene00015103,1,1
WBGene00015104,863,495
WBGene00015110,31,22
WBGene00015111,3,6
WBGene00007136,129,106
WBGene00015115,14,39
WBGene00015132,24,26
WBGene00015125,1203,1064
WBGene00015134,476,240
WBGene00015136,88,71
WBGene00007149,1,1
WBGene00007144,641,380
WBGene00007145,809,514
WBGene00015150,277,176
WBGene00015160,534,312
WBGene00015163,33,79
WBGene00007156,8,96
WBGene00007159,18,226
WBGene00007165,11,8
WBGene00007168,2396,1168
WBGene00007172,1,5
WBGene00043982,19,34
WBGene00015172,3,4
WBGene00015178,1,1
WBGene00015191,150,96
WBGene00015189,174,73
WBGene00015190,31,21
WBGene00007186,2318,1409
WBGene00007189,587,372
WBGene00007192,1491,1405
WBGene00007194,249,133
WBGene00015204,506,321
WBGene00015206,1516,1116
WBGene00015208,383,268
WBGene00015219,75,96
WBGene00015238,341,221
WBGene00015232,1761,1105
WBGene00015233,630,356
WBGene00015244,2,29
WBGene00007202,108,70
WBGene00007207,818,441
WBGene00007216,796,953
