wormbase_gene,JA1,JA2,JA3,JA4,JA5,JA6,JA10,JA11,JA12,JA13,JA14,JA15,JA19,JA20,JA21,JA22,JA23,JA24,JA28,JA29,JA30,JA31
WBGene00007063,706,803,480,295,559,202,468,794,413,807,324,292,190,1012,761,611,815,753,1015,569,1144,613
WBGene00200402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00195865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
WBGene00197051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199694,19,16,16,15,15,1,8,5,9,7,2,3,6,14,7,11,9,12,16,12,19,6
WBGene00199940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
WBGene00007066,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
WBGene00007067,42,23,20,28,54,26,17,28,24,41,16,15,26,39,42,43,49,58,94,54,113,73
WBGene00007069,3,9,4,5,8,5,5,8,3,12,2,4,3,7,4,11,11,7,6,3,9,7
WBGene00077502,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00077503,1,1,1,1,2,3,0,1,0,0,1,0,0,1,0,0,0,0,3,0,1,0
WBGene00077504,3,2,1,1,2,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,1,0
WBGene00195634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199275,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,2,0,2,2
WBGene00200016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007071,3874,4468,3007,2059,3824,2053,2034,2487,1882,2729,1189,1168,991,3006,2020,2398,2238,2612,1148,1065,1954,1121
WBGene00044022,1,1,1,0,3,0,2,2,0,0,0,0,1,1,1,3,2,1,3,2,3,1
WBGene00014997,10,8,5,4,7,14,0,0,2,0,0,0,3,1,6,0,0,0,4,1,6,1
