wormbase_gene,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
WBGene00007063,715,607,510,646
WBGene00007067,36,22,21,26
WBGene00007069,1,6,3,3
WBGene00019801,2642,2365,2215,2445
WBGene00020142,6055,6238,6051,6192
WBGene00010115,680,654,667,689
WBGene00012928,899,884,1054,1046
WBGene00000001,2859,2584,2356,2771
WBGene00000002,621,539,575,608
WBGene00000003,334,291,312,318
WBGene00000004,1900,1667,1873,1863
WBGene00000005,159,141,151,161
WBGene00000006,813,633,579,621
WBGene00000007,284,260,220,281
WBGene00000008,13,14,9,9
WBGene00000009,17,22,27,22
WBGene00000010,4007,3859,4157,4321
WBGene00012714,5870,5568,5422,5813
WBGene00006512,5655,5315,4600,5409
WBGene00012097,13994,13200,12774,14071
WBGene00018339,5077,4785,4294,5042
WBGene00016973,48,31,25,31
WBGene00006522,1992,1759,1609,1862
WBGene00000012,10,11,3,5
WBGene00000013,34,36,40,38
WBGene00000014,0,0,0,0
WBGene00000015,0,0,1,0
WBGene00000016,46,28,37,50
WBGene00000017,79,87,75,90
WBGene00015146,6067,5993,5539,6432
WBGene00000018,8226,7250,7091,7667
WBGene00000019,26,22,27,35
WBGene00000020,696,650,658,711
WBGene00000022,1691,1731,1778,1722
WBGene00000023,45,40,32,46
WBGene00018982,0,0,0,0
WBGene00022281,1245,1099,1082,1134
WBGene00009920,22850,18625,18664,20394
WBGene00009929,158,126,153,154
WBGene00019018,1731,1270,1315,1200
WBGene00019844,3239,2648,3046,3334
WBGene00000024,1,0,2,2
WBGene00000033,73,45,70,47
WBGene00000034,125,82,115,84
WBGene00000025,1,3,0,1
WBGene00000026,2,1,1,1
WBGene00000027,3,0,0,1
WBGene00000028,0,0,0,0
WBGene00000029,0,0,0,1
WBGene00000030,1,1,0,0
WBGene00000031,180,120,144,109
WBGene00000032,0,0,0,0
WBGene00007071,3254,2872,2666,2874
WBGene00014997,0,0,0,0
WBGene00043988,0,0,0,0
WBGene00043989,0,0,0,0
WBGene00043990,0,0,0,0
WBGene00007075,0,0,0,0
WBGene00007076,0,0,0,0
WBGene00007079,0,0,0,0
WBGene00016655,1119,1202,1157,1520
WBGene00009818,511,455,409,528
WBGene00018949,8,3,5,7
WBGene00011731,1219,1171,1259,1287
WBGene00012457,38,47,53,52
WBGene00044603,52,26,27,28
WBGene00010275,64,43,56,48
WBGene00008280,12,15,17,11
WBGene00018880,18,10,17,19
WBGene00012099,70,55,69,54
WBGene00016943,66142,58133,56843,63638
WBGene00020366,4074,3977,4131,4281
WBGene00012860,6037,5792,5651,6127
WBGene00017125,14344,13343,13051,14049
WBGene00001566,4465,4276,4060,4581
WBGene00015894,4066,3662,3294,3897
WBGene00019433,4855,4606,4338,4685
WBGene00020419,48,54,35,39
WBGene00016491,7,3,2,3
WBGene00015335,92,63,77,55
WBGene00020812,3606,3692,3815,3912
WBGene00019406,3,9,2,1
WBGene00017874,2494,2378,2334,2497
WBGene00000035,412,372,358,320
WBGene00000036,586,480,451,517
WBGene00000037,628,461,474,401
WBGene00000038,56,39,29,37
WBGene00010339,770,772,772,797
WBGene00017888,616,598,609,627
WBGene00015295,596,522,509,556
WBGene00008581,4,3,1,4
WBGene00019465,7467,6996,6657,7510
WBGene00011543,1391,1247,1151,1400
WBGene00006491,1134,922,914,1084
WBGene00018657,8244,7843,7148,8337
WBGene00011106,2040,1925,1791,1907
WBGene00017261,7833,7376,6774,7725
WBGene00012911,725,711,680,768
WBGene00020264,1600,1527,1411,1545
WBGene00022646,2982,2801,2689,3037
WBGene00000039,7557,5987,6674,6495
