wormbase_gene,Nr101.NA,Nr102.H2O,Nr103.MNA,Nr104.NA,Nr105.H2O,Nr106.MNA,Nr107.NA,Nr108.H2O,Nr109.MNA
WBGene00045784,0,0,0,0,0,0,0,0,0
WBGene00046545,0,0,0,0,0,0,1,0,0
WBGene00047662,0,0,0,0,0,0,0,0,0
WBGene00046838,0,0,0,0,0,0,0,0,0
WBGene00165804,0,0,0,0,0,0,0,0,0
WBGene00170142,0,0,0,0,0,0,0,0,0
WBGene00172568,0,0,0,0,0,0,0,0,0
WBGene00169963,0,0,0,0,0,0,0,0,0
WBGene00166697,0,0,0,0,0,0,0,0,0
WBGene00168543,0,0,0,0,0,0,0,0,0
WBGene00167126,0,0,0,0,0,0,0,0,0
WBGene00173911,0,0,0,0,0,0,0,0,0
WBGene00165711,0,0,0,0,0,0,0,0,0
WBGene00046079,0,0,0,0,0,0,0,0,0
WBGene00170437,0,0,0,0,0,0,0,0,0
WBGene00165811,1,0,0,0,0,2,0,0,0
WBGene00171641,0,0,0,0,0,0,0,0,0
WBGene00167240,0,0,0,0,0,0,0,0,0
WBGene00168291,0,0,0,0,0,0,0,0,0
WBGene00172424,0,0,0,0,0,0,0,0,0
WBGene00169656,0,0,0,0,0,0,0,0,0
WBGene00172597,0,0,0,0,0,0,0,0,0
WBGene00166091,0,0,0,0,0,0,0,0,0
WBGene00168987,0,0,0,0,0,0,0,0,0
WBGene00050303,0,0,0,0,0,0,0,0,0
WBGene00172060,0,0,0,0,0,0,0,0,0
WBGene00167578,0,0,0,0,0,0,0,0,0
WBGene00165380,0,0,0,0,0,0,0,0,0
WBGene00170947,0,0,0,0,0,0,0,0,0
WBGene00174173,0,0,0,0,0,0,0,0,0
WBGene00169753,0,0,0,0,0,0,0,0,0
WBGene00168927,0,0,0,0,0,0,0,0,0
WBGene00174279,0,0,0,0,0,0,0,0,0
WBGene00173405,0,0,0,0,0,0,0,0,0
WBGene00049560,0,0,0,0,0,0,0,0,0
WBGene00174546,1,0,0,0,0,0,0,0,0
WBGene00168860,0,0,0,0,0,0,0,0,0
WBGene00171239,0,0,0,0,0,0,0,0,0
WBGene00165549,0,0,0,0,0,0,0,0,0
WBGene00173749,0,0,0,0,0,0,0,0,0
WBGene00167999,0,0,0,0,0,0,0,0,0
WBGene00174801,0,0,0,0,0,0,0,0,0
WBGene00169123,0,0,1,0,0,0,0,0,0
WBGene00165395,0,0,0,0,0,0,0,0,0
WBGene00174717,0,0,0,0,0,0,0,0,0
WBGene00046712,0,0,0,0,0,0,0,0,0
WBGene00169087,0,0,0,0,0,0,0,0,0
WBGene00172627,0,0,0,0,0,0,0,0,0
WBGene00169437,0,0,0,0,0,0,0,0,0
WBGene00172476,0,0,0,0,0,0,0,0,0
WBGene00166759,0,0,0,0,0,0,0,0,0
WBGene00167375,0,0,0,0,0,0,0,0,0
WBGene00171804,0,0,0,0,0,0,0,0,0
WBGene00165964,0,0,0,0,0,0,0,0,0
WBGene00170265,0,0,0,0,0,0,0,0,0
WBGene00045892,0,0,0,0,0,0,0,0,0
WBGene00174825,0,0,0,0,0,0,0,0,0
WBGene00168367,0,0,0,0,0,0,0,0,0
WBGene00173637,0,0,0,0,0,0,0,0,0
WBGene00168083,0,0,0,0,0,0,0,0,0
WBGene00171111,0,0,0,0,0,0,0,0,0
WBGene00165597,0,0,0,0,0,0,0,0,0
WBGene00174423,0,0,0,0,0,0,0,0,0
WBGene00169056,0,0,0,0,0,0,0,0,0
WBGene00168341,0,0,0,0,0,0,0,0,0
