wormbase_gene,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
WBGene00007063,486,267,351,241,374,334,345,463,441,330,334,500
WBGene00007067,17,12,14,12,7,13,10,14,19,18,19,15
WBGene00007069,0,0,1,1,1,0,1,1,2,1,4,1
WBGene00019801,74,34,43,48,68,59,63,65,68,29,40,38
WBGene00020142,231,155,171,125,170,198,206,233,193,136,162,237
WBGene00010115,362,186,306,190,309,232,287,328,322,237,297,336
WBGene00012928,635,392,417,306,402,439,470,606,497,386,312,513
WBGene00000001,2740,1539,1722,1593,1746,1801,1811,2459,1660,2219,1231,2026
WBGene00000002,290,155,215,153,253,179,259,327,326,278,314,320
WBGene00000003,266,135,223,191,246,164,236,282,299,230,331,279
WBGene00000004,919,615,810,423,709,782,809,1118,952,722,675,1025
WBGene00000005,364,146,251,198,281,190,229,247,284,224,295,270
WBGene00000006,1,0,1,1,1,4,1,2,2,2,1,2
WBGene00000007,7,3,14,1,6,5,5,3,13,5,10,7
WBGene00000008,28,6,12,17,28,4,27,23,17,12,20,22
WBGene00000009,31,13,17,14,26,14,23,30,26,18,27,22
WBGene00000010,124,57,74,51,67,75,71,102,51,47,39,84
WBGene00012714,4811,2519,3027,2643,3144,2920,2937,3663,2955,2795,2267,3361
WBGene00006512,6875,2832,3810,3491,4262,3383,3436,4278,4020,3608,3723,3956
WBGene00012097,4402,2067,2648,2358,3010,2540,2813,3363,2897,2199,2536,2823
WBGene00018339,5506,2588,3038,2773,3462,2879,2924,3670,3340,2745,2779,3363
WBGene00016973,11,8,9,3,8,6,10,20,15,15,22,11
WBGene00006522,166,82,77,72,82,97,80,124,105,81,69,124
WBGene00000012,2,1,11,1,5,5,11,9,7,6,4,6
WBGene00000013,50,27,52,36,31,25,26,28,50,50,67,34
WBGene00000014,0,0,3,1,5,2,0,0,5,0,1,0
WBGene00000015,16,5,11,13,21,11,11,6,16,8,9,2
WBGene00000016,610,181,355,324,443,219,251,299,326,337,493,302
WBGene00000017,350,103,167,183,235,147,138,193,241,167,256,169
WBGene00015146,5531,3154,3325,2935,3238,3455,3387,4576,3079,3577,2147,3614
WBGene00000018,161,86,107,105,123,114,133,157,146,70,129,141
WBGene00000019,26,14,15,18,20,19,16,32,24,12,19,29
WBGene00000020,527,230,307,206,346,297,309,333,404,233,314,363
WBGene00000022,3293,1498,1991,1423,2403,1793,1851,2086,2464,1613,2328,2154
WBGene00000023,39,8,31,10,21,19,14,41,25,20,20,26
WBGene00018982,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00022281,504,292,319,256,315,340,332,426,371,308,248,346
WBGene00009920,26,13,19,6,11,15,12,19,16,6,4,19
WBGene00009929,62,25,32,26,27,20,34,54,35,44,36,43
