wormbase_gene,N2.2,Eat2.2,Nhr62.2,Nhr62Eat2.2,N2.3,Eat2.3,Nhr62.3,Nhr62Eat2.3,N2.1,Eat2.1,Nhr62.1,Nhr62Eat2.1
WBGene00007063,254,228,259,244,196,192,350,232,234,167,331,118
WBGene00200402,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044951,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195865,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197051,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199694,4,5,5,5,4,7,11,9,2,9,5,1
WBGene00199940,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201913,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007066,3,3,4,6,1,1,3,2,3,1,6,1
WBGene00007067,27,49,20,41,24,26,30,29,31,37,31,25
WBGene00007069,1,0,1,0,3,1,1,2,4,4,0,3
WBGene00077502,0,1,0,0,0,0,1,3,1,0,0,0
WBGene00077503,1,33,3,4,5,16,8,18,10,14,3,7
WBGene00077504,0,2,1,1,1,3,0,2,1,3,0,1
WBGene00195634,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199275,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200016,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007071,3089,3056,3447,2521,2719,2584,4185,2532,3494,1551,4535,1441
WBGene00044022,1,2,2,1,1,1,0,2,1,1,2,0
WBGene00014997,12,53,13,26,29,34,16,32,27,42,21,21
WBGene00004054,14,13,10,14,7,14,12,17,25,10,23,14
WBGene00043988,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00043989,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00043990,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007074,0,0,0,0,1,0,1,0,0,0,0,0
WBGene00007075,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007076,4,14,3,4,5,9,6,8,5,8,8,0
WBGene00007077,2,1,1,5,3,2,3,0,1,2,5,1
WBGene00007078,1,0,1,0,0,0,0,0,0,0,0,0
WBGene00007079,3,3,2,2,1,0,1,2,3,2,1,2
WBGene00043987,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007083,1,1,1,0,2,4,1,0,0,1,1,0
WBGene00007085,0,0,0,1,0,0,1,0,0,0,1,0
WBGene00197015,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197630,0,0,0,2,0,0,1,1,1,0,0,0
WBGene00201406,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00219290,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007081,49,230,56,103,56,148,63,102,102,144,124,75
WBGene00014998,6,6,6,11,10,4,9,4,2,7,11,6
WBGene00014999,315,234,302,325,245,187,371,275,236,208,448,148
WBGene00015000,4,8,6,12,3,7,5,8,3,6,7,7
WBGene00044701,22,34,13,28,13,31,24,24,18,46,19,14
WBGene00175029,2,1,2,0,0,0,1,0,1,0,0,0
WBGene00196931,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197796,1,3,1,0,4,2,3,2,0,0,4,2
WBGene00200968,0,0,1,1,0,1,3,0,1,0,0,0
WBGene00007087,5066,5028,5648,5599,4886,4094,7063,5486,4925,3895,8024,3241
WBGene00007088,1627,1658,1734,1951,1628,1230,2290,1792,1601,1323,2633,1015
WBGene00007089,1839,2095,1962,1937,1836,1490,2506,1900,1700,1484,2896,1119
WBGene00007090,1266,1471,1246,1280,1238,1002,1739,1447,1267,934,2114,843
WBGene00007092,2287,1967,2559,2541,2165,1801,3343,2434,2039,1660,3180,1434
WBGene00007093,1489,1326,1531,1613,1436,1026,1956,1505,1368,1043,2196,811
WBGene00007094,1865,1880,1934,2031,1726,1638,2575,2191,1678,1616,2735,1229
WBGene00007101,2526,2309,2818,2678,2616,1898,3465,2355,2795,2111,3959,1584
WBGene00007102,1312,1431,1577,1461,1245,1077,1948,1461,1228,977,2056,873
WBGene00007104,10,33,16,18,7,14,12,22,12,15,16,7
WBGene00197715,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00198491,2,0,0,0,1,0,0,1,0,0,0,0
WBGene00007096,22,29,35,18,13,16,28,21,31,15,40,7
WBGene00007097,120,225,108,340,57,135,77,180,240,402,236,219
WBGene00015001,1029,805,989,1048,923,675,1390,948,958,689,1443,520
WBGene00194700,188,705,249,414,325,458,364,400,417,591,429,319
WBGene00200669,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015002,80,264,88,87,88,194,117,113,98,204,130,69
WBGene00197686,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197958,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199321,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199621,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200211,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200579,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00200808,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202395,1,0,0,2,0,0,1,2,0,0,2,2
WBGene00015003,0,2,0,0,2,1,1,0,0,0,0,0
WBGene00015004,9,26,6,15,6,16,4,13,7,16,9,11
WBGene00015005,10,13,15,12,9,6,23,9,8,14,15,4
WBGene00044394,2,7,7,8,6,9,8,7,12,3,11,4
WBGene00196414,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197204,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007112,1201,1582,1366,2299,816,1102,1349,2173,1270,963,1548,869
WBGene00007113,1242,1287,1328,1275,1220,982,1730,1264,1198,1024,2305,759
WBGene00044290,487,619,515,584,534,395,685,507,476,412,912,352
WBGene00196590,1,0,1,2,1,0,1,3,0,0,1,1
WBGene00007106,1263,1227,1293,1318,1210,947,1749,1269,1182,950,1922,846
WBGene00015006,7,65,11,23,9,26,15,20,15,52,9,20
WBGene00198277,0,0,0,0,0,0,1,0,1,0,0,0
WBGene00206362,55,32,68,58,56,24,72,52,57,32,105,22
WBGene00015009,2722,2796,2980,2858,2620,2035,3790,2705,2513,1865,4396,1620
WBGene00015011,1854,1599,1987,1753,1783,1208,2444,1691,1581,1132,2997,972
WBGene00045087,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202471,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007115,52,72,64,77,46,31,86,78,59,44,93,30
WBGene00007116,108,162,130,157,103,107,134,128,125,120,202,103
WBGene00196331,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197531,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198743,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198865,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198935,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199905,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015017,2737,2187,2836,2699,2549,1894,3723,2581,2423,1751,3474,1476
WBGene00015024,261,1096,367,660,459,852,467,758,617,1175,620,621
WBGene00044413,135,155,120,118,121,96,186,122,96,86,147,93
WBGene00044644,281,111,60,200,738,70,234,120,54,88,93,206
WBGene00044646,10,8,6,33,15,10,5,8,7,11,6,20
WBGene00194999,0,1,0,1,0,0,0,0,0,0,0,0
WBGene00198848,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00015019,0,4,2,3,1,7,5,6,1,6,0,3
WBGene00015020,4,3,11,5,4,1,6,4,9,4,5,2
WBGene00015021,1421,1574,1578,1564,1463,1169,2044,1414,1501,1209,2321,921
