"","logFC","logCPM","LR","PValue"
"WBGene00000001",0.0963690023857404,6.39358169934001,0.202715499158806,0.652537844100523
"WBGene00000002",-0.432838622805557,1.78069203500794,0.428702101101131,0.512626495579432
"WBGene00000003",0.552334034761813,1.83051688053203,0.719296626607973,0.396374725317072
"WBGene00000004",0.125622021441148,3.5578726161001,0.0740778475841859,0.785489417065118
"WBGene00000005",-0.470747912148539,2.76773202847519,0.776564354851725,0.378193946031006
"WBGene00000006",-0.0926364181642596,1.26114490395048,0.0142245753661365,0.905063966271427
"WBGene00000007",-0.286434096452088,4.06363149027176,0.632112885681185,0.426581351192223
"WBGene00000008",0.562480047117278,-1.24578615358885,0.248151000779416,0.618380034201623
"WBGene00000009",-0.538742206647521,-0.363710171929387,0.354804599062649,0.551405883051154
"WBGene00000010",0.228149544108453,5.9107031862374,0.969866621553088,0.324713445347254
"WBGene00000012",0.450552166866191,-2.33126286894085,0.100268956102346,0.751507114656982
"WBGene00000013",0.713662018615866,-1.72281990111834,0.324373398645944,0.568991170494397
"WBGene00000014",0,-3.59875592096187,0,1
"WBGene00000015",-0.198359628854086,-2.80021264902133,0.0131093052623417,0.908844716618677
"WBGene00000016",-0.729166476100238,-1.19301808499817,0.500854339628431,0.479124973134617
"WBGene00000017",-0.0432960671486158,-1.30959453597661,0.00132058179521621,0.971011407052138
"WBGene00000018",0.138711650880829,4.35323181179984,0.143286636041967,0.705035268580365
"WBGene00000019",-0.107641180678474,0.384038577492431,0.0127930469815429,0.909946238727417
"WBGene00000020",0.0269188907652392,3.8092934717778,0.00395232937945877,0.94987197166134
"WBGene00000021",4.7195691761104,-2.24054894956366,4.93341191680217,0.0263422576309774
"WBGene00000022",-0.178391482639347,6.18496629585579,0.411311257623765,0.521304712031796
"WBGene00000023",1.27441768711172,-0.121295717363498,1.58964379619396,0.207377032783777
"WBGene00000024",0,-3.59875592096187,0,1
"WBGene00000025",0,-3.59875592096187,0,1
"WBGene00000026",0,-3.59875592096187,0,1
"WBGene00000027",0.189881781640312,-3.18278186126155,0.0060263485895411,0.938122727829142
"WBGene00000028",0,-3.59875592096187,0,1
"WBGene00000029",0,-3.59875592096187,0,1
"WBGene00000030",1.00193351246461,-3.18630354310805,0.183580193891516,0.668314361917407
"WBGene00000031",0.565295905436356,-2.59534679894573,0.138840163032389,0.709436780363296
"WBGene00000032",0,-3.59875592096187,0,1
"WBGene00000033",2.38177254294647,-3.27692646746058,1.06458638514974,0.302171462850257
"WBGene00000034",1.5175891255401,-1.99513647888852,1.33592535280051,0.247753820664565
"WBGene00000035",0.102565554935222,1.86671086967035,0.022449816178522,0.880896667124029
"WBGene00000036",-0.205002765481367,2.50970388116745,0.11536265101734,0.73411953363415
"WBGene00000037",-0.223233646350532,0.238819311654245,0.0642078213376196,0.799964827764616
"WBGene00000038",0.605451205895845,-2.41687885014089,0.158406026375946,0.690628309247972
"WBGene00000039",-0.394160288728673,2.64664710643096,0.197458014728246,0.656780534557855
"WBGene00000040",-0.107648668023744,7.53884225802592,0.17221575454759,0.678150057650857
"WBGene00000041",0.258306727716929,9.6312082228906,0.836052687971915,0.36052814983668
"WBGene00000042",0.172499798379686,-1.94064581624918,0.0205275237142266,0.886073555695011
"WBGene00000043",-4.74836519330459,-2.50824062924817,4.27826264245258,0.0386027867447504
"WBGene00000044",0.767392347121489,-0.815976271371813,0.706290514222011,0.400678028606602
"WBGene00000045",1.07932883526947,-2.78164301837757,0.346243279712223,0.556247461074103
"WBGene00000046",-0.109917346214366,-2.09629455401353,0.00895752533306693,0.924597437760285
"WBGene00000047",-0.651942336659301,0.184342629165909,0.537924334976699,0.463294224578299
"WBGene00000048",-0.427351870829444,-1.86661657638905,0.13725639267189,0.71102390831299
"WBGene00000049",0.00842940866974755,-1.96971458005456,6.03869329842688e-05,0.993799778898083
"WBGene00000050",0.167419951124716,0.275943549256849,0.0416552406025482,0.838278358741481
"WBGene00000051",-0.262525740390841,0.455204163579219,0.107535200883865,0.742967915037454
"WBGene00000053",2.04412642946843,-2.52849379455761,1.32322692173752,0.250013739284405
"WBGene00000054",-0.170197611760938,0.154652591324629,0.0407581822700589,0.840005410928604
"WBGene00000055",-0.473807217950187,0.665827520997838,0.380202521261056,0.537494870334964
"WBGene00000056",-0.071177463136418,-0.512276195774499,0.00630610270660359,0.93670574064444
"WBGene00000057",-0.192875952240101,0.274538349825885,0.0536409912526414,0.816844630433525
"WBGene00000058",-0.0833096076046557,-1.51382076397322,0.00650962116602427,0.935694674425709
"WBGene00000059",-0.453443103069419,-1.87500123888443,0.119890456132503,0.729153329057797
"WBGene00000060",-0.596602113096912,-1.41627955976422,0.307518178273546,0.57920713835422
"WBGene00000061",0,-3.59875592096187,0,1
"WBGene00000062",0.303070196528885,-1.57887381749946,0.0747274860608356,0.784573971957445
"WBGene00000063",0.114235144912452,7.32725666262211,0.229853315466542,0.631632614186369
"WBGene00000064",0.390530592546899,10.4311027923019,1.6275850338186,0.202037397933668
"WBGene00000065",0.141506974770903,7.24989564762389,0.349414614885511,0.554444689555961
"WBGene00000066",-0.156578515996841,9.23335793898009,0.259826011589894,0.610239712344181
"WBGene00000067",-0.232692567630308,9.22842537938268,0.703005564607224,0.401775620167622
"WBGene00000068",0.144096777929774,2.18855064261978,0.0558163747225705,0.813234885974976
"WBGene00000069",0.138593822797844,-0.781908760731251,0.0190644283045294,0.890181937284879
"WBGene00000070",-0.458726932369819,3.24087165980884,0.866000813103089,0.352064837072946
"WBGene00000071",0.287029653653911,3.04218320997294,0.335097658520555,0.56267270822151
"WBGene00000072",-0.0403949573618077,2.79281259063573,0.00537862012486556,0.941536296949443
"WBGene00000073",-0.0526798333307485,3.69440458964603,0.0170108452199818,0.89622968918616
"WBGene00000074",0.416558805387875,4.82894235875627,1.97310050211033,0.160119145395763
"WBGene00000075",0.147232041765614,4.46167335995979,0.212534327989699,0.644788234184831
"WBGene00000079",0.245516916598836,6.72745094900752,0.960317229025961,0.327106965109317
"WBGene00000080",0.0970200396696739,6.43998632368851,0.203932758020148,0.651564989725503
"WBGene00000081",-0.323557491433842,7.33718078988389,1.88790342906958,0.169438583698214
"WBGene00000082",0.149788516585424,0.076814503194233,0.0313355785281701,0.859493793404548
"WBGene00000083",0.130832431793172,4.5089553470984,0.110612340237708,0.739448069306547
"WBGene00000084",-0.330214473319157,3.77064507221615,0.643563071188133,0.422423494937997
"WBGene00000085",-0.139024737384846,-1.14100817562296,0.0163973214496953,0.898107800834446
"WBGene00000086",-0.175135274975596,3.08782050436269,0.128827834654616,0.719650489134547
"WBGene00000088",-0.619993139288512,4.05110768548292,2.87516667490058,0.089955660985017
"WBGene00000089",-0.601941929204546,2.06644207430451,0.922586930985682,0.336796644207262
"WBGene00000090",0.476012807057587,6.9435199729792,3.74187772363162,0.0530647805705095
"WBGene00000092",0.0732730459032277,4.58564990028715,0.0541848159713458,0.815935100404908
"WBGene00000093",-0.188939882869737,4.56941726527441,0.371054121077819,0.542430241812081
"WBGene00000094",0.13678020823688,4.85366155459912,0.178488512350274,0.672675419698715
"WBGene00000095",-0.187566954397434,4.04361739438066,0.259062544094106,0.610764932157319
"WBGene00000096",-1.19401431272781,-0.980763452447592,1.36614665326187,0.242475046865449
"WBGene00000097",-0.148169314421185,5.3325396508146,0.339244237158127,0.560265787703195
"WBGene00000098",0.0770033353188158,7.82372357600356,0.105339478457329,0.745513772770268
"WBGene00000099",-0.0372110801103685,6.40835564814589,0.0310259599072289,0.8601824841924
"WBGene00000100",0.139980678447211,6.29979299431578,0.361652559873868,0.547589875501073
"WBGene00000101",0.350020718641693,8.47634486187813,1.77989417474598,0.182162321705592
"WBGene00000102",0.209742564945336,7.7292593311148,0.776582299278743,0.37818843646144
"WBGene00000103",0.0891265268561423,3.01825876280945,0.030876216110131,0.860516833423017
"WBGene00000105",0.361555051729996,5.61099294743568,1.22907853056586,0.267586316797023
"WBGene00000106",0.576198537641913,6.28900772303932,2.80892644979713,0.0937410881364982
"WBGene00000107",0.00199467079747246,8.14443607948482,6.54139843838664e-05,0.99354686682051
"WBGene00000108",-2.23008837600727,-3.18979006772086,0.936360625419538,0.333215556501036
"WBGene00000109",-0.0372116051371035,6.78014547043693,0.0300177285335224,0.862450010164109
"WBGene00000110",0.0755973254267489,7.18987280799397,0.10594398139693,0.744809969309701
"WBGene00000111",-0.0635803931514424,2.46087945486538,0.0078629596685289,0.929341527632581
"WBGene00000112",0.234942276216985,6.10378307135126,0.74019473662373,0.389598504175505
"WBGene00000113",-0.00827264780852325,5.23804931478932,0.000914662317285764,0.975872948365898
"WBGene00000114",-0.147535233548283,9.47249258033495,0.290969187189489,0.589600120779843
"WBGene00000115",0.167060789721573,6.85462067747305,0.377204123162656,0.539103353525898
"WBGene00000116",0.119633332911983,3.53611490748139,0.0793283882475286,0.77820962939823
