"","logFC","logCPM","LR","PValue"
"WBGene00000001",0.0131464031014882,6.39358169934001,0.00377457066672804,0.951010760458393
"WBGene00000002",0.146842365768805,1.78069203500794,0.0502128733584604,0.822693271480731
"WBGene00000003",0.819819411651316,1.83051688053203,1.58682502749095,0.207780335929384
"WBGene00000004",0.784664628188072,3.5578726161001,2.88478530868953,0.0894199247241803
"WBGene00000005",-0.656627948285684,2.76773202847519,1.50441971471643,0.219992566978421
"WBGene00000006",0.32212917225038,1.26114490395048,0.173742777753331,0.676806680685074
"WBGene00000007",-0.694056341709372,4.06363149027176,3.67047462168074,0.0553844106597077
"WBGene00000008",-0.285255844488322,-1.24578615358885,0.0614776772385888,0.804175472929044
"WBGene00000009",-0.808628537733172,-0.363710171929387,0.789459226385316,0.374263693652421
"WBGene00000010",0.180524788165999,5.9107031862374,0.607940647633257,0.435564247952589
"WBGene00000012",0.995755844764665,-2.33126286894085,0.518529820431469,0.471469493357466
"WBGene00000013",0.26266706695408,-1.72281990111834,0.0429317909717106,0.835853759707085
"WBGene00000014",0,-3.59875592096187,0,1
"WBGene00000015",-0.830484631379011,-2.80021264902133,0.217655736749384,0.640831964036362
"WBGene00000016",-0.701842442152601,-1.19301808499817,0.472530593969501,0.491825274867367
"WBGene00000017",-0.511524510913905,-1.30959453597661,0.181470249957664,0.670112763783487
"WBGene00000018",0.312684247431229,4.35323181179984,0.72936264751467,0.393089857266295
"WBGene00000019",1.6651181449135,0.384038577492431,3.10047530930162,0.0782694391669781
"WBGene00000020",-0.253577849767719,3.8092934717778,0.349738956388375,0.554260937723586
"WBGene00000021",5.64009280077082,-2.24054894956366,7.14824414564654,0.00750374145426252
"WBGene00000022",-0.789697307466141,6.18496629585579,7.94740630842111,0.0048156343541084
"WBGene00000023",2.21168183027766,-0.121295717363498,4.7459496962428,0.0293673396746404
"WBGene00000024",0,-3.59875592096187,0,1
"WBGene00000025",0,-3.59875592096187,0,1
"WBGene00000026",0,-3.59875592096187,0,1
"WBGene00000027",0.949811364972954,-3.18278186126155,0.165335195455227,0.684291286884818
"WBGene00000028",0,-3.59875592096187,0,1
"WBGene00000029",0,-3.59875592096187,0,1
"WBGene00000030",0.0282892556919645,-3.18630354310805,0.000126790961410439,0.99101589060228
"WBGene00000031",0.726420495953575,-2.59534679894573,0.238090731157385,0.625588502799675
"WBGene00000032",0,-3.59875592096187,0,1
"WBGene00000033",3.13592169918235,-3.27692646746058,1.64117368113968,0.200164510454226
"WBGene00000034",1.13691733444075,-1.99513647888852,0.739508871526442,0.389818249499099
"WBGene00000035",0.173840023847928,1.86671086967035,0.0647078310578415,0.799204055450989
"WBGene00000036",-0.225453561112863,2.50970388116745,0.139794762271213,0.70848513163995
"WBGene00000037",0.943030727103209,0.238819311654245,1.18143516010141,0.277064019065156
"WBGene00000038",0.268669918231573,-2.41687885014089,0.0307930671723486,0.860702850048682
"WBGene00000039",0.913067341870511,2.64664710643096,1.05505436283317,0.304345886678833
"WBGene00000040",-0.406414420599661,7.53884225802592,2.44638254549,0.117796057445674
"WBGene00000041",0.266627782144973,9.6312082228906,0.890767374648703,0.345269441370968
"WBGene00000042",0.309657139921056,-1.94064581624918,0.0685380489662069,0.793477392879417
"WBGene00000043",0.0173149300242311,-2.50824062924817,0.000108142299634739,0.991702829124642
"WBGene00000044",-0.0492140273531117,-0.815976271371813,0.00280067448766796,0.95779453423203
"WBGene00000045",0.57895730852017,-2.78164301837757,0.0978067326379106,0.754477686893242
"WBGene00000046",-2.31177564241432,-2.09629455401353,2.92226603472564,0.0873650959842553
"WBGene00000047",0.694450368358387,0.184342629165909,0.644832600660201,0.421966240928393
"WBGene00000048",0.49764545779436,-1.86661657638905,0.210147966101652,0.646651454424147
"WBGene00000049",-1.37409084292031,-1.96971458005456,1.34269635225473,0.246559020267589
"WBGene00000050",0.239537386251934,0.275943549256849,0.0859716210011996,0.769362270594385
"WBGene00000051",0.64907499344643,0.455204163579219,0.678481783910244,0.410110007049693
"WBGene00000053",0.494411431918921,-2.52849379455761,0.0748857196666837,0.784351643609559
"WBGene00000054",0.474276329519256,0.154652591324629,0.325370104670421,0.568398140951021
"WBGene00000055",-0.139642459916801,0.665827520997838,0.0336813534213862,0.854386259059122
"WBGene00000056",-0.118109923365579,-0.512276195774499,0.017475104222278,0.894831293766726
"WBGene00000057",-0.132370611567702,0.274538349825885,0.025484669226433,0.873165310038485
"WBGene00000058",0.238960445540086,-1.51382076397322,0.0557427457928591,0.813355836750455
"WBGene00000059",0.468175812356997,-1.87500123888443,0.139928535136623,0.708352068362464
"WBGene00000060",-1.43180430168797,-1.41627955976422,1.64466553788345,0.199686537799848
"WBGene00000061",0,-3.59875592096187,0,1
"WBGene00000062",1.27467364065916,-1.57887381749946,1.4414467770677,0.229905363907748
"WBGene00000063",0.202415384118287,7.32725666262211,0.721803528396521,0.395552955640439
"WBGene00000064",0.369161659544156,10.4311027923019,1.45484607072467,0.227751948439273
"WBGene00000065",0.204709505289928,7.24989564762389,0.731424860837983,0.392421725192869
"WBGene00000066",0.138204701685234,9.23335793898009,0.202493663336099,0.652715517375128
"WBGene00000067",-0.651950676257983,9.22842537938268,5.47720360321978,0.0192660561634371
"WBGene00000068",0.441664575891288,2.18855064261978,0.52670269583682,0.467996422969242
"WBGene00000069",0.827480437966534,-0.781908760731251,0.706003368357037,0.400773798109897
"WBGene00000070",-0.838329137346898,3.24087165980884,2.85637631613697,0.0910123161511376
"WBGene00000071",-0.0632226238600042,3.04218320997294,0.0162309032942118,0.898623371154773
"WBGene00000072",-0.225032996389567,2.79281259063573,0.166718306148322,0.68304497489131
