transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
2L52.1,26,50,22,25,20
2RSSE.1,34,162,90,33,43
2RSSE.2,7,57,38,19,28
3R5.1,22,32,23,33,32
4R79.1,1,73,133,25,3
4R79.2,10,106,110,97,26
6R55.2,2,5,6,2,9
AC3.1,0,4,0,4,0
AC3.10,4,0,7,6,1
AC3.12,0,0,0,2,2
AC3.2,130,144,168,180,281
AC3.3,0,2,0,4,0
AC3.4,1,0,1,5,0
AC3.5,358,2966,1883,541,559
AC3.6,0,17,11,44,6
AC3.7,51,101,224,433,51
AC3.8,101,153,210,234,107
AC7.1,3,19,20,34,4
AC7.2,329,593,477,308,274
AC7.3,4,5,8,2,0
AC8.10,5,15,20,13,13
AC8.11,10,47,76,71,19
AC8.12,0,14,24,2,6
AC8.3,5,15,20,13,13
AC8.4,11,49,82,71,20
AC8.7,0,19,25,2,6
AH10.1,3,13,22,4,2
AH10.2,1,3,0,4,0
AH10.3,2,6,25,2,9
AH10.4,2,10,6,2,0
AH6.1,1,1,16,15,0
AH6.10,0,3,0,5,0
AH6.11,0,1,0,3,0
AH6.12,0,0,0,0,0
AH6.14,0,0,0,0,0
AH6.17,0,0,3,0,0
AH6.2,3,4,9,4,1
AH6.3,10,2,5,15,0
AH6.4,0,4,0,0,0
AH6.5,1811,1159,719,515,2283
AH6.6,0,0,0,0,0
AH6.7,1,4,11,11,3
AH6.8,0,0,3,0,0
AH9.1,4,42,48,45,16
AH9.2,114,342,363,148,100
AH9.3,75,272,210,81,128
AH9.4,0,1,6,7,0
AH9.6,4,9,14,29,3
B0001.1,112,186,242,147,107
B0001.2,604,455,353,292,617
B0001.3,245,404,301,203,350
B0001.4,73,111,90,22,137
B0001.5,507,831,472,210,471
B0001.6,818,4292,3158,979,1397
B0001.7,85,67,73,29,107
B0001.8,176,170,123,57,167
B0019.1,87,206,104,35,72
B0019.2,538,852,805,509,946
B0024.1,2,24,38,26,3
B0024.10,703,915,703,952,1278
B0024.11,927,1774,1353,1484,1510
B0024.12,80,155,88,111,94
B0024.13,211,182,162,119,261
B0024.14,31,214,225,103,55
B0024.15,0,2,1,2,0
B0024.2,9,60,60,24,17
B0024.3,2,13,16,18,0
B0024.4,54,1622,2229,1244,207
B0024.6,2,5,7,8,10
B0024.8,15,27,56,45,28
B0024.9,288,809,566,736,615
